ID,DV,GROUP,TIME
1,1585933.2655,vvDD,0
1,2385949.2923,vvDD,1
1,1428183.6264,vvDD,2
1,1247898.3245,vvDD,3
1,177454.3449,vvDD,4
2,1676075.9164,vvDD,0
2,2870466.041,vvDD,1
2,1698611.5791,vvDD,2
2,1225362.6618,vvDD,3
2,357739.6467,vvDD,4
3,1788754.23,vvDD,0
3,1878896.8809,vvDD,1
3,1033809.5286,vvDD,2
3,774649.4072,vvDD,3
3,267596.9958,vvDD,4
4,1946503.8691,vvDD,0
4,2893001.7037,vvDD,1
4,3107090.4997,vvDD,2
4,684506.7563,vvDD,3
4,188722.1763,vvDD,4
5,2994412.186,vvDD,0
5,3704285.5626,vvDD,1
5,1022541.6973,vvDD,2
5,887327.7209,vvDD,3
5,673238.9245,vvDD,4
6,3569071.586,vvDD,0
6,3253572.307,vvDD,1
6,2859198.21,vvDD,2
6,1484522.783,vvDD,3
6,921131.215,vvDD,4
7,3715553.393,vvDD,0
7,5518406.412,vvDD,1
7,3366250.621,vvDD,2
7,2712716.402,vvDD,3
7,2070450.014,vvDD,4
8,3805696.044,vvDD,0
8,4673319.059,vvDD,1
8,3929642.189,vvDD,2
8,1631004.591,vvDD,3
8,1214094.83,vvDD,4
9,4357819.781,vvDD,0
9,5202907.133,vvDD,1
9,3974713.515,vvDD,2
9,2757787.727,vvDD,3
9,2216931.822,vvDD,4
10,4436694.601,vvDD,0
10,3400054.115,vvDD,1
10,3512732.429,vvDD,2
10,1191559.168,vvDD,3
10,1315505.313,vvDD,4
11,1225622.846,ctrl,0
11,1784693.02,ctrl,1
11,2278000.967,ctrl,2
11,2151627.18,ctrl,3
11,2476078.496,ctrl,4
12,1300773.882,ctrl,0
12,1136824.577,ctrl,1
12,1207656.355,ctrl,2
12,1550824.456,ctrl,3
12,1462127.577,ctrl,4
13,1432176.665,ctrl,0
13,1812839.172,ctrl,1
13,1686445.106,ctrl,2
13,1578930.051,ctrl,3
13,1743812.154,ctrl,4
14,1939172.403,ctrl,0
14,3221180.942,ctrl,1
14,4390503.484,ctrl,2
14,3832284.996,ctrl,3
14,5264575.329,ctrl,4
15,2220836.701,ctrl,0
15,3390159.243,ctrl,1
15,4005541.998,ctrl,2
15,4442557.647,ctrl,3
15,4766968.402,ctrl,4
16,2308506.043,ctrl,0
16,2917007.49,ctrl,1
16,2708450.898,ctrl,2
16,3368052.939,ctrl,3
16,3602196.59,ctrl,4
17,3319347.744,ctrl,0
17,4723390.534,ctrl,1
17,4916297.12,ctrl,2
17,5860247.667,ctrl,3
17,5377281.605,ctrl,4
18,3460159.615,ctrl,0
18,492964.632,ctrl,1
18,4760555.883,ctrl,2
18,5062198.821,ctrl,3
18,5968736.076,ctrl,4
19,4370894.458,ctrl,0
19,3812696.247,ctrl,1
19,4916276.842,ctrl,2
19,4433128.276,ctrl,3
19,5161278.142,ctrl,4
20,4718280.426,ctrl,0
20,4817288.356,ctrl,1
20,5592250.88,ctrl,2
20,6141952.522,ctrl,3
20,6588397.532,ctrl,4
