"TIME","ID","DV","GROUP","V0_INIT"
0,1,1585933.26545881,"vvDD",3e+09
1,1,2385949.29233178,"vvDD",3e+09
2,1,1428183.62635711,"vvDD",3e+09
3,1,1247898.32452658,"vvDD",3e+09
4,1,177454.344907835,"vvDD",3e+09
0,2,1676075.91637408,"vvDD",3e+09
1,2,2870466.04100131,"vvDD",3e+09
2,2,1698611.5791029,"vvDD",3e+09
3,2,1225362.66179776,"vvDD",3e+09
4,2,357739.646738365,"vvDD",3e+09
0,3,1788754.23001815,"vvDD",3e+09
1,3,1878896.88093342,"vvDD",3e+09
2,3,1033809.52860283,"vvDD",3e+09
3,3,774649.407221451,"vvDD",3e+09
4,3,267596.9958231,"vvDD",3e+09
0,4,1946503.86911987,"vvDD",3e+09
1,4,2893001.70373012,"vvDD",3e+09
2,4,3107090.49965388,"vvDD",3e+09
3,4,684506.756306186,"vvDD",3e+09
4,4,188722.176272243,"vvDD",3e+09
0,5,2994412.18600979,"vvDD",3e+09
1,5,3704285.56196749,"vvDD",3e+09
2,5,1022541.69723842,"vvDD",3e+09
3,5,887327.720865533,"vvDD",3e+09
4,5,673238.924941778,"vvDD",3e+09
0,6,3569071.58559459,"vvDD",3e+09
1,6,3253572.30739117,"vvDD",3e+09
2,6,2859198.2096369,"vvDD",3e+09
3,6,1484522.78317915,"vvDD",3e+09
4,6,921131.214958757,"vvDD",3e+09
0,7,3715553.3933319,"vvDD",3e+09
1,7,5518406.41163716,"vvDD",3e+09
2,7,3366250.62103526,"vvDD",3e+09
3,7,2712716.4018996,"vvDD",3e+09
4,7,2070450.01412835,"vvDD",3e+09
0,8,3805696.04424716,"vvDD",3e+09
1,8,4673319.05930656,"vvDD",3e+09
2,8,3929642.18925565,"vvDD",3e+09
3,8,1631004.59091645,"vvDD",3e+09
4,8,1214094.83043335,"vvDD",3e+09
0,9,4357819.78110315,"vvDD",3e+09
1,9,5202907.13343374,"vvDD",3e+09
2,9,3974713.51471328,"vvDD",3e+09
3,9,2757787.72735723,"vvDD",3e+09
4,9,2216931.82186566,"vvDD",3e+09
0,10,4436694.60065401,"vvDD",3e+09
1,10,3400054.11512848,"vvDD",3e+09
2,10,3512732.42877256,"vvDD",3e+09
3,10,1191559.16770454,"vvDD",3e+09
4,10,1315505.31271303,"vvDD",3e+09
0,11,1225622.84643511,"ctrl",0
1,11,1784693.01995032,"ctrl",0
2,11,2278000.96739697,"ctrl",0
3,11,2151627.179898,"ctrl",0
4,11,2476078.49568485,"ctrl",0
0,12,1300773.88245423,"ctrl",0
1,12,1136824.57694569,"ctrl",0
2,12,1207656.3548234,"ctrl",0
3,12,1550824.45588971,"ctrl",0
4,12,1462127.57743648,"ctrl",0
0,13,1432176.6653479,"ctrl",0
1,13,1812839.17159482,"ctrl",0
2,13,1686445.1058886,"ctrl",0
3,13,1578930.05111974,"ctrl",0
4,13,1743812.15416117,"ctrl",0
0,14,1939172.40267933,"ctrl",0
1,14,3221180.94238935,"ctrl",0
2,14,4390503.48448514,"ctrl",0
3,14,3832284.99567387,"ctrl",0
4,14,5264575.32921491,"ctrl",0
0,15,2220836.70119679,"ctrl",0
1,15,3390159.24329258,"ctrl",0
2,15,4005541.99830405,"ctrl",0
3,15,4442557.6424617,"ctrl",0
4,15,4766968.40183407,"ctrl",0
0,16,2308506.04292082,"ctrl",0
1,16,2917007.4904646,"ctrl",0
2,16,2708450.89839621,"ctrl",0
3,16,3368052.93874363,"ctrl",0
4,16,3602196.59023023,"ctrl",0
0,17,3319347.7436221,"ctrl",0
1,17,4723390.53448245,"ctrl",0
2,17,4916297.11992497,"ctrl",0
3,17,5860247.66679233,"ctrl",0
4,17,5377281.60503636,"ctrl",0
0,18,3460159.61467359,"ctrl",0
1,18,4929964.63160249,"ctrl",0
2,18,4766055.88250841,"ctrl",0
3,18,5062198.82099286,"ctrl",0
4,18,5968736.07550855,"ctrl",0
0,19,4370894.45808727,"ctrl",0
1,19,3812696.24748324,"ctrl",0
2,19,4916276.84171773,"ctrl",0
3,19,4433128.27609663,"ctrl",0
4,19,5161278.14155127,"ctrl",0
0,20,4718280.4262588,"ctrl",0
1,20,4817258.35578103,"ctrl",0
2,20,5592250.87995239,"ctrl",0
3,20,6141952.52172425,"ctrl",0
4,20,6588397.53224695,"ctrl",0
