theta_abscissa,theta_cdf,split
-1.84298,0.005,All
-1.64346,0.01,All
-1.57019,0.015,All
-1.50599,0.02,All
-1.49579,0.025,All
-1.48598,0.03,All
-1.38503,0.035,All
-1.37811,0.04,All
-1.34138,0.045,All
-1.3292,0.05,All
-1.31974,0.055,All
-1.30958,0.06,All
-1.3075,0.065,All
-1.2883,0.07,All
-1.2624,0.075,All
-1.17506,0.08,All
-1.12621,0.085,All
-1.06219,0.09,All
-1.03512,0.095,All
-1.00073,0.1,All
-0.995824,0.105,All
-0.971563,0.11,All
-0.966125,0.115,All
-0.952471,0.12,All
-0.924085,0.125,All
-0.919689,0.13,All
-0.864646,0.135,All
-0.843727,0.14,All
-0.841889,0.145,All
-0.758155,0.15,All
-0.746106,0.155,All
-0.743099,0.16,All
-0.730096,0.165,All
-0.722536,0.17,All
-0.698056,0.175,All
-0.665531,0.18,All
-0.639159,0.185,All
-0.637932,0.19,All
-0.614805,0.195,All
-0.576037,0.2,All
-0.54861,0.205,All
-0.547479,0.21,All
-0.543174,0.215,All
-0.530341,0.22,All
-0.509586,0.225,All
-0.508242,0.23,All
-0.498652,0.235,All
-0.487744,0.24,All
-0.48166,0.245,All
-0.473876,0.25,All
-0.44716,0.255,All
-0.444266,0.26,All
-0.440392,0.265,All
-0.431018,0.27,All
-0.424508,0.275,All
-0.406969,0.28,All
-0.400039,0.285,All
-0.386765,0.29,All
-0.385557,0.295,All
-0.35703,0.3,All
-0.355035,0.305,All
-0.344844,0.31,All
-0.339116,0.315,All
-0.337052,0.32,All
-0.332732,0.325,All
-0.326168,0.33,All
-0.325719,0.335,All
-0.312803,0.34,All
-0.299963,0.345,All
-0.293165,0.35,All
-0.280054,0.355,All
-0.265,0.36,All
-0.264441,0.365,All
-0.259913,0.37,All
-0.255093,0.375,All
-0.253272,0.38,All
-0.249906,0.385,All
-0.247437,0.39,All
-0.245894,0.395,All
-0.229756,0.4,All
-0.229487,0.405,All
-0.226021,0.41,All
-0.220581,0.415,All
-0.210697,0.42,All
-0.203214,0.425,All
-0.192872,0.43,All
-0.189962,0.435,All
-0.178049,0.44,All
-0.162671,0.445,All
-0.154899,0.45,All
-0.153542,0.455,All
-0.153387,0.46,All
-0.149065,0.465,All
-0.142622,0.47,All
-0.140218,0.475,All
-0.128349,0.48,All
-0.126037,0.485,All
-0.123312,0.49,All
-0.11711,0.495,All
-0.117032,0.5,All
-0.116007,0.505,All
-0.10686,0.51,All
-0.106243,0.515,All
-0.104779,0.52,All
-0.103092,0.525,All
-0.0869763,0.53,All
-0.0868599,0.535,All
-0.0794646,0.54,All
-0.0782835,0.545,All
-0.0741944,0.55,All
-0.0708298,0.555,All
-0.069842,0.56,All
-0.0535381,0.565,All
-0.0463895,0.57,All
-0.0450774,0.575,All
-0.0419442,0.58,All
-0.0205014,0.585,All
-0.0200157,0.59,All
-0.0166491,0.595,All
-0.015221,0.6,All
-0.0142005,0.605,All
-0.0103854,0.61,All
-0.00916406,0.615,All
-0.00709091,0.62,All
-0.00667866,0.625,All
-0.0028294,0.63,All
0.0043671,0.635,All
0.0104594,0.64,All
0.0131884,0.645,All
0.0191965,0.65,All
0.0240946,0.655,All
0.0451393,0.66,All
0.0481834,0.665,All
0.0732336,0.67,All
0.0800296,0.675,All
0.0804704,0.68,All
0.0901379,0.685,All
0.0962953,0.69,All
0.099597,0.695,All
0.104372,0.7,All
0.105936,0.705,All
0.106598,0.71,All
0.106884,0.715,All
0.109028,0.72,All
0.110623,0.725,All
0.115164,0.73,All
0.138175,0.735,All
0.145894,0.74,All
0.150267,0.745,All
0.157221,0.75,All
0.157237,0.755,All
0.158021,0.76,All
0.164553,0.765,All
0.179816,0.77,All
0.192515,0.775,All
0.19482,0.78,All
0.200945,0.785,All
0.210635,0.79,All
0.213505,0.795,All
0.221026,0.8,All
0.236387,0.805,All
0.259367,0.81,All
0.267041,0.815,All
0.27116,0.82,All
0.273666,0.825,All
0.274511,0.83,All
0.2798,0.835,All
0.280261,0.84,All
0.289377,0.845,All
0.31335,0.85,All
0.317942,0.855,All
0.33205,0.86,All
0.338377,0.865,All
0.353967,0.87,All
0.420268,0.875,All
0.434247,0.88,All
0.437768,0.885,All
0.447679,0.89,All
0.469179,0.895,All
0.471952,0.9,All
0.480985,0.905,All
0.482856,0.91,All
0.488104,0.915,All
0.497535,0.92,All
0.502092,0.925,All
0.518594,0.93,All
0.538103,0.935,All
0.553221,0.94,All
0.554899,0.945,All
0.556288,0.95,All
0.558935,0.955,All
0.598401,0.96,All
0.674098,0.965,All
0.687864,0.97,All
0.747806,0.975,All
0.751084,0.98,All
0.778071,0.985,All
0.80034,0.99,All
0.895055,0.995,All
0.91689,1,All
1.25635,1,All
