pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.74233,0.0960407,-1.96342,0.126104,-1.84784,0.0746895,All
-1.28419,0.240102,-1.79986,0.0504417,-1.40601,0.248965,All
-0.826051,0.360153,-1.63631,0.0378313,-0.964183,0.273862,All
-0.367912,0.336142,-1.47275,0.208072,-0.522354,0.298758,All
0.0902275,0.288122,-1.3092,0.119799,-0.0805249,0.323655,All
0.548367,0.384163,-1.14564,0.214377,0.361304,0.323655,All
1.00651,0.336142,-0.982088,0.151325,0.803133,0.398344,All
1.46464,0.312132,-0.818533,0.283735,1.24496,0.423241,All
1.92278,0,-0.654978,0.296345,1.68679,0.0746895,All
2.38092,0.0480203,-0.491423,0.252209,2.12862,0.049793,All
,,-0.327868,0.30265,,,All
,,-0.164313,0.428755,,,All
,,-0.000758241,0.378313,,,All
,,0.162797,0.384618,,,All
,,0.326352,0.466586,,,All
,,0.489907,0.517028,,,All
,,0.653462,0.428755,,,All
,,0.817017,0.390924,,,All
,,0.980572,0.27743,,,All
,,1.14413,0.308956,,,All
,,1.30768,0.170241,,,All
,,1.47124,0.100883,,,All
,,1.63479,0.0504417,,,All
,,1.79835,0.056747,,,All
,,1.9619,0.0756626,,,All
,,2.12546,0.0630522,,,All
,,2.28901,0.0315261,,,All
,,2.45257,0.00630522,,,All
,,2.61612,0.0189157,,,All
,,2.77968,0.0378313,,,All
,,2.94323,0.0378313,,,All
,,3.10679,0.0315261,,,All
