rep,ID,standEta_theta_simulated,GROUP,filter
1,1,0.20294,vvDD,0
2,1,0.0644137,vvDD,0
3,1,-1.02127,vvDD,0
4,1,-1.01574,vvDD,0
5,1,-0.62504,vvDD,0
6,1,1.21046,vvDD,0
7,1,-0.459859,vvDD,0
8,1,-1.04339,vvDD,0
9,1,-0.933027,vvDD,0
10,1,-1.48886,vvDD,0
1,2,-0.82487,vvDD,0
2,2,0.205109,vvDD,0
3,2,-0.306775,vvDD,0
4,2,0.320916,vvDD,0
5,2,0.970255,vvDD,0
6,2,0.0671901,vvDD,0
7,2,-0.586925,vvDD,0
8,2,0.880272,vvDD,0
9,2,1.37042,vvDD,0
10,2,0.0869596,vvDD,0
1,3,-0.105521,vvDD,0
2,3,0.0751281,vvDD,0
3,3,0.825162,vvDD,0
4,3,-0.0243114,vvDD,0
5,3,-1.34003,vvDD,0
6,3,-0.128432,vvDD,0
7,3,-1.43529,vvDD,0
8,3,-0.656511,vvDD,0
9,3,0.495832,vvDD,0
10,3,0.356887,vvDD,0
1,4,-0.189495,vvDD,0
2,4,0.740944,vvDD,0
3,4,-0.0725572,vvDD,0
4,4,0.0219024,vvDD,0
5,4,-0.521349,vvDD,0
6,4,-0.442645,vvDD,0
7,4,-0.648606,vvDD,0
8,4,0.514394,vvDD,0
9,4,-0.165418,vvDD,0
10,4,-0.873299,vvDD,0
1,5,0.839255,vvDD,0
2,5,0.924296,vvDD,0
3,5,0.679077,vvDD,0
4,5,0.318293,vvDD,0
5,5,0.560353,vvDD,0
6,5,0.637613,vvDD,0
7,5,0.651048,vvDD,0
8,5,1.44776,vvDD,0
9,5,0.639053,vvDD,0
10,5,1.36787,vvDD,0
1,6,1.15277,vvDD,0
2,6,0.543406,vvDD,0
3,6,0.13381,vvDD,0
4,6,1.21555,vvDD,0
5,6,2.46804e-05,vvDD,0
6,6,0.220611,vvDD,0
7,6,-0.262155,vvDD,0
8,6,0.545146,vvDD,0
9,6,0.846819,vvDD,0
10,6,0.218797,vvDD,0
1,7,0.32279,vvDD,0
2,7,0.552013,vvDD,0
3,7,-0.466973,vvDD,0
