ID,time,DV,median,piLower,piUpper,censored,color,filter
1,0,1.58593e+06,2.4377e+06,629240,5.28056e+06,0,#4D4D4D,0
1,1,2.38595e+06,2.89226e+06,628232,5.86965e+06,0,#4D4D4D,0
1,2,1.42818e+06,2.53731e+06,729378,4.27197e+06,0,#4D4D4D,0
1,3,1.2479e+06,1.56825e+06,428607,2.77853e+06,0,#4D4D4D,0
1,4,177454,1.02269e+06,346050,1.8156e+06,0,#4D4D4D,0
2,0,1.67608e+06,2.18682e+06,547762,5.40009e+06,0,#4D4D4D,0
2,1,2.87047e+06,2.98071e+06,920574,6.05824e+06,0,#4D4D4D,0
2,2,1.69861e+06,2.4741e+06,1.01125e+06,4.26555e+06,0,#4D4D4D,0
2,3,1.22536e+06,1.53721e+06,453124,2.86203e+06,0,#4D4D4D,0
2,4,357740,998206,321711,1.85949e+06,0,#4D4D4D,0
3,0,1.78875e+06,2.36493e+06,524533,5.43012e+06,0,#4D4D4D,0
3,1,1.8789e+06,2.79861e+06,849131,6.04537e+06,0,#4D4D4D,0
3,2,1.03381e+06,2.39964e+06,724103,4.13336e+06,0,#4D4D4D,0
3,3,774649,1.53149e+06,468775,2.9506e+06,0,#4D4D4D,0
3,4,267597,1.00759e+06,278135,1.76351e+06,0,#4D4D4D,0
4,0,1.9465e+06,2.27564e+06,629297,5.27999e+06,0,#4D4D4D,0
4,1,2.893e+06,2.90965e+06,923555,5.72229e+06,0,#4D4D4D,0
4,2,3.10709e+06,2.50565e+06,795190,4.34895e+06,0,#4D4D4D,0
4,3,684507,1.58917e+06,482496,2.87425e+06,0,#4D4D4D,0
4,4,188722,1.00201e+06,333158,1.72031e+06,0,#4D4D4D,0
5,0,2.99441e+06,2.39858e+06,707259,5.37699e+06,0,#4D4D4D,0
5,1,3.70429e+06,2.96559e+06,636922,5.8233e+06,0,#4D4D4D,0
5,2,1.02254e+06,2.53782e+06,798111,4.37323e+06,0,#4D4D4D,0
5,3,887328,1.53164e+06,419941,2.74593e+06,0,#4D4D4D,0
5,4,673239,1.01604e+06,310387,1.85219e+06,0,#4D4D4D,0
6,0,3.56907e+06,2.27423e+06,478766,5.78952e+06,0,#4D4D4D,0
6,1,3.25357e+06,2.82315e+06,688682,5.8683e+06,0,#4D4D4D,0
6,2,2.8592e+06,2.48956e+06,639253,4.28802e+06,0,#4D4D4D,0
6,3,1.48452e+06,1.48347e+06,416126,2.77455e+06,0,#4D4D4D,0
6,4,921131,977855,287185,1.71127e+06,0,#4D4D4D,0
7,0,3.71555e+06,2.275e+06,563936,5.98143e+06,0,#4D4D4D,0
7,1,5.51841e+06,2.93005e+06,890340,5.88334e+06,0,#4D4D4D,0
7,2,3.36625e+06,2.54454e+06,740328,4.23302e+06,0,#4D4D4D,0
7,3,2.71272e+06,1.5709e+06,400696,2.85131e+06,0,#4D4D4D,0
7,4,2.07045e+06,999052,335697,1.86332e+06,0,#4D4D4D,0
8,0,3.8057e+06,2.18875e+06,490574,5.52821e+06,0,#4D4D4D,0
8,1,4.67332e+06,2.8111e+06,767670,5.87274e+06,0,#4D4D4D,0
8,2,3.92964e+06,2.56287e+06,820579,4.28191e+06,0,#4D4D4D,0
8,3,1.631e+06,1.54359e+06,502221,2.81127e+06,0,#4D4D4D,0
8,4,1.21409e+06,1.01051e+06,266754,1.8701e+06,0,#4D4D4D,0
9,0,4.35782e+06,2.21074e+06,552102,5.52466e+06,0,#4D4D4D,0
9,1,5.20291e+06,2.83403e+06,837568,5.85731e+06,0,#4D4D4D,0
9,2,3.97471e+06,2.46785e+06,704851,4.46591e+06,0,#4D4D4D,0
9,3,2.75779e+06,1.59358e+06,522116,2.81389e+06,0,#4D4D4D,0
9,4,2.21693e+06,978992,330525,1.82419e+06,0,#4D4D4D,0
10,0,4.43669e+06,2.34947e+06,525386,6.08098e+06,0,#4D4D4D,0
10,1,3.40005e+06,2.85215e+06,825129,5.96591e+06,0,#4D4D4D,0
10,2,3.51273e+06,2.44578e+06,849444,4.53649e+06,0,#4D4D4D,0
10,3,1.19156e+06,1.51062e+06,525586,2.5799e+06,0,#4D4D4D,0
10,4,1.31551e+06,1.01442e+06,359679,1.85163e+06,0,#4D4D4D,0
11,0,1.22562e+06,2.34664e+06,485586,5.7791e+06,0,#4682B4,0
11,1,1.78469e+06,2.89776e+06,915793,6.13039e+06,0,#4682B4,0
11,2,2.278e+06,3.32323e+06,868250,6.38883e+06,0,#4682B4,0
11,3,2.15163e+06,3.6946e+06,1.31115e+06,6.18825e+06,0,#4682B4,0
11,4,2.47608e+06,3.83505e+06,1.20276e+06,6.638e+06,0,#4682B4,0
12,0,1.30077e+06,2.39755e+06,646078,5.99356e+06,0,#4682B4,0
12,1,1.13682e+06,2.83191e+06,878366,5.74764e+06,0,#4682B4,0
12,2,1.20766e+06,3.35786e+06,778153,6.16014e+06,0,#4682B4,0
12,3,1.55082e+06,3.5921e+06,1.15495e+06,6.42038e+06,0,#4682B4,0
12,4,1.46213e+06,4.00558e+06,1.29631e+06,7.05097e+06,0,#4682B4,0
13,0,1.43218e+06,2.33943e+06,628319,5.52201e+06,0,#4682B4,0
13,1,1.81284e+06,3.08135e+06,867543,6.13655e+06,0,#4682B4,0
13,2,1.68645e+06,3.39302e+06,853916,6.77313e+06,0,#4682B4,0
13,3,1.57893e+06,3.68548e+06,1.0926e+06,6.43816e+06,0,#4682B4,0
13,4,1.74381e+06,3.98322e+06,1.31022e+06,6.82677e+06,0,#4682B4,0
14,0,1.93917e+06,2.2059e+06,598209,5.66681e+06,0,#4682B4,0
14,1,3.22118e+06,2.97815e+06,877326,5.80865e+06,0,#4682B4,0
14,2,4.3905e+06,3.24935e+06,1.13226e+06,6.34715e+06,0,#4682B4,0
14,3,3.83228e+06,3.63463e+06,1.33182e+06,6.376e+06,0,#4682B4,0
14,4,5.26458e+06,4.10186e+06,1.20496e+06,6.71183e+06,0,#4682B4,0
15,0,2.22084e+06,2.3382e+06,487126,5.48717e+06,0,#4682B4,0
15,1,3.39016e+06,2.75266e+06,747423,5.7755e+06,0,#4682B4,0
15,2,4.00554e+06,3.30294e+06,976656,5.931e+06,0,#4682B4,0
15,3,4.44256e+06,3.74654e+06,1.20795e+06,6.5332e+06,0,#4682B4,0
15,4,4.76697e+06,3.8998e+06,1.15202e+06,6.93797e+06,0,#4682B4,0
16,0,2.30851e+06,2.40295e+06,561819,5.60061e+06,0,#4682B4,0
16,1,2.91701e+06,2.8407e+06,499640,6.03816e+06,0,#4682B4,0
16,2,2.70845e+06,3.29802e+06,888829,6.23261e+06,0,#4682B4,0
16,3,3.36805e+06,3.63327e+06,1.19103e+06,6.46017e+06,0,#4682B4,0
16,4,3.6022e+06,3.71105e+06,1.10551e+06,6.74326e+06,0,#4682B4,0
17,0,3.31935e+06,2.31211e+06,641872,5.38219e+06,0,#4682B4,0
17,1,4.72339e+06,2.75477e+06,875042,5.65083e+06,0,#4682B4,0
17,2,4.9163e+06,3.2151e+06,882662,6.16941e+06,0,#4682B4,0
17,3,5.86025e+06,3.54241e+06,1.08798e+06,6.13794e+06,0,#4682B4,0
17,4,5.37728e+06,4.03816e+06,1.45734e+06,6.81775e+06,0,#4682B4,0
18,0,3.46016e+06,2.26322e+06,567541,5.37858e+06,0,#4682B4,0
18,1,4.92996e+06,2.83954e+06,772696,5.71178e+06,0,#4682B4,0
