ID,trans_theta_mean,trans_theta_mode,eta_theta_mean,eta_theta_mode,GROUP,split,color,filter
1,-0.414392,-0.531264,-0.224417,-0.341288,vvDD,All,#4682B4,0
2,-0.278994,-0.404542,-0.0890182,-0.214566,vvDD,All,#4682B4,0
3,-0.396496,-0.540071,-0.20652,-0.350095,vvDD,All,#4682B4,0
4,-0.260294,-0.343256,-0.070318,-0.15328,vvDD,All,#4682B4,0
5,0.106751,0.01067,0.296726,0.200646,vvDD,All,#4682B4,0
6,0.0322843,0.0334195,0.22226,0.223395,vvDD,All,#4682B4,0
7,-0.0229968,-0.0241464,0.166979,0.165829,vvDD,All,#4682B4,0
8,0.101878,0.0662216,0.291854,0.256197,vvDD,All,#4682B4,0
9,-0.0301022,-0.0291126,0.159873,0.160863,vvDD,All,#4682B4,0
10,0.209263,0.0994,0.399239,0.289376,vvDD,All,#4682B4,0
11,-0.999181,-1.08819,-0.809206,-0.89821,ctrl,All,#4682B4,0
12,-1.17256,-1.28741,-0.982587,-1.09743,ctrl,All,#4682B4,0
13,-0.987973,-1.08819,-0.797997,-0.89821,ctrl,All,#4682B4,0
14,-0.252914,-0.331507,-0.0629383,-0.141532,ctrl,All,#4682B4,0
15,-0.201658,-0.293698,-0.0116819,-0.103723,ctrl,All,#4682B4,0
16,-0.400136,-0.488014,-0.210161,-0.298039,ctrl,All,#4682B4,0
17,0.195001,0.129313,0.384977,0.319289,ctrl,All,#4682B4,0
18,0.197987,0.166915,0.387963,0.356891,ctrl,All,#4682B4,0
19,0.214063,0.166596,0.404039,0.356572,ctrl,All,#4682B4,0
20,0.427725,0.386072,0.6177,0.576047,ctrl,All,#4682B4,0
