rep,ID,trans_theta_simulated,eta_theta_simulated,GROUP,split,color,filter
0,1,-0.0794646,0.110511,vvDD,All,#4682B4,0
1,1,-0.154899,0.0350765,vvDD,All,#4682B4,0
2,1,-0.746106,-0.556131,vvDD,All,#4682B4,0
3,1,-0.743099,-0.553123,vvDD,All,#4682B4,0
4,1,-0.530341,-0.340366,vvDD,All,#4682B4,0
5,1,0.469179,0.659154,vvDD,All,#4682B4,0
6,1,-0.440392,-0.250416,vvDD,All,#4682B4,0
7,1,-0.758155,-0.568179,vvDD,All,#4682B4,0
8,1,-0.698056,-0.50808,vvDD,All,#4682B4,0
9,1,-1.00073,-0.810758,vvDD,All,#4682B4,0
0,2,-0.639159,-0.449183,vvDD,All,#4682B4,0
1,2,-0.0782835,0.111692,vvDD,All,#4682B4,0
2,2,-0.35703,-0.167055,vvDD,All,#4682B4,0
3,2,-0.015221,0.174755,vvDD,All,#4682B4,0
4,2,0.338377,0.528353,vvDD,All,#4682B4,0
5,2,-0.153387,0.0365884,vvDD,All,#4682B4,0
6,2,-0.509586,-0.31961,vvDD,All,#4682B4,0
7,2,0.289377,0.479352,vvDD,All,#4682B4,0
8,2,0.556288,0.746264,vvDD,All,#4682B4,0
9,2,-0.142622,0.0473538,vvDD,All,#4682B4,0
0,3,-0.247437,-0.0574612,vvDD,All,#4682B4,0
1,3,-0.149065,0.040911,vvDD,All,#4682B4,0
2,3,0.259367,0.449342,vvDD,All,#4682B4,0
3,3,-0.203214,-0.0132388,vvDD,All,#4682B4,0
4,3,-0.919689,-0.729713,vvDD,All,#4682B4,0
5,3,-0.259913,-0.0699374,vvDD,All,#4682B4,0
6,3,-0.971563,-0.781587,vvDD,All,#4682B4,0
7,3,-0.547479,-0.357503,vvDD,All,#4682B4,0
8,3,0.0800296,0.270005,vvDD,All,#4682B4,0
9,3,0.0043671,0.194343,vvDD,All,#4682B4,0
0,4,-0.293165,-0.103189,vvDD,All,#4682B4,0
1,4,0.213505,0.403481,vvDD,All,#4682B4,0
2,4,-0.229487,-0.039511,vvDD,All,#4682B4,0
3,4,-0.178049,0.011927,vvDD,All,#4682B4,0
4,4,-0.473876,-0.2839,vvDD,All,#4682B4,0
5,4,-0.431018,-0.241042,vvDD,All,#4682B4,0
6,4,-0.543174,-0.353198,vvDD,All,#4682B4,0
7,4,0.0901379,0.280114,vvDD,All,#4682B4,0
8,4,-0.280054,-0.0900786,vvDD,All,#4682B4,0
9,4,-0.665531,-0.475555,vvDD,All,#4682B4,0
0,5,0.267041,0.457016,vvDD,All,#4682B4,0
1,5,0.31335,0.503325,vvDD,All,#4682B4,0
2,5,0.179816,0.369791,vvDD,All,#4682B4,0
3,5,-0.0166491,0.173327,vvDD,All,#4682B4,0
4,5,0.115164,0.30514,vvDD,All,#4682B4,0
5,5,0.157237,0.347212,vvDD,All,#4682B4,0
6,5,0.164553,0.354528,vvDD,All,#4682B4,0
7,5,0.598401,0.788377,vvDD,All,#4682B4,0
8,5,0.158021,0.347996,vvDD,All,#4682B4,0
9,5,0.554899,0.744874,vvDD,All,#4682B4,0
0,6,0.437768,0.627743,vvDD,All,#4682B4,0
1,6,0.105936,0.295912,vvDD,All,#4682B4,0
2,6,-0.11711,0.0728661,vvDD,All,#4682B4,0
3,6,0.471952,0.661928,vvDD,All,#4682B4,0
4,6,-0.189962,1.34397e-05,vvDD,All,#4682B4,0
5,6,-0.069842,0.120134,vvDD,All,#4682B4,0
6,6,-0.332732,-0.142756,vvDD,All,#4682B4,0
7,6,0.106884,0.296859,vvDD,All,#4682B4,0
8,6,0.27116,0.461136,vvDD,All,#4682B4,0
9,6,-0.0708298,0.119146,vvDD,All,#4682B4,0
0,7,-0.0142005,0.175775,vvDD,All,#4682B4,0
1,7,0.110623,0.300599,vvDD,All,#4682B4,0
2,7,-0.444266,-0.25429,vvDD,All,#4682B4,0
3,7,-0.0868599,0.103116,vvDD,All,#4682B4,0
4,7,-0.299963,-0.109987,vvDD,All,#4682B4,0
5,7,-0.0869763,0.102999,vvDD,All,#4682B4,0
6,7,0.157221,0.347197,vvDD,All,#4682B4,0
7,7,0.0732336,0.263209,vvDD,All,#4682B4,0
8,7,0.0104594,0.200435,vvDD,All,#4682B4,0
