ID,time,DV,popPred,indivPredMean,indivPredMode,censored,split,color,filter
1,0,1.58593e+06,2.46427e+06,2.06225e+06,1.87372e+06,0,All,#4682B4,0
1,1,2.38595e+06,3.00684e+06,2.63438e+06,2.44741e+06,0,All,#4682B4,0
1,2,1.42818e+06,2.66843e+06,2.70437e+06,2.69333e+06,0,All,#4682B4,0
1,3,1.2479e+06,1.51327e+06,1.61717e+06,1.67786e+06,0,All,#4682B4,0
1,4,177454,994527,1.04741e+06,1.07884e+06,0,All,#4682B4,0
2,0,1.67608e+06,2.46427e+06,2.29846e+06,2.07878e+06,0,All,#4682B4,0
2,1,2.87047e+06,3.00684e+06,2.85735e+06,2.65039e+06,0,All,#4682B4,0
2,2,1.69861e+06,2.66843e+06,2.6887e+06,2.70405e+06,0,All,#4682B4,0
2,3,1.22536e+06,1.51327e+06,1.55219e+06,1.61236e+06,0,All,#4682B4,0
2,4,357740,994527,1.0147e+06,1.04326e+06,0,All,#4682B4,0
3,0,1.78875e+06,2.46427e+06,2.09237e+06,1.86009e+06,0,All,#4682B4,0
3,1,1.8789e+06,3.00684e+06,2.66349e+06,2.43355e+06,0,All,#4682B4,0
3,2,1.03381e+06,2.66843e+06,2.70398e+06,2.69167e+06,0,All,#4682B4,0
3,3,774649,1.51327e+06,1.60822e+06,1.68319e+06,0,All,#4682B4,0
3,4,267597,994527,1.04276e+06,1.08139e+06,0,All,#4682B4,0
4,0,1.9465e+06,2.46427e+06,2.3326e+06,2.18395e+06,0,All,#4682B4,0
4,1,2.893e+06,3.00684e+06,2.88859e+06,2.75078e+06,0,All,#4682B4,0
4,2,3.10709e+06,2.66843e+06,2.68573e+06,2.69828e+06,0,All,#4682B4,0
4,3,684507,1.51327e+06,1.54418e+06,1.58161e+06,0,All,#4682B4,0
4,4,188722,994527,1.00951e+06,1.02912e+06,0,All,#4682B4,0
5,0,2.99441e+06,2.46427e+06,3.07627e+06,2.86831e+06,0,All,#4682B4,0
5,1,3.70429e+06,3.00684e+06,3.51384e+06,3.34899e+06,0,All,#4682B4,0
5,2,1.02254e+06,2.66843e+06,2.55475e+06,2.5969e+06,0,All,#4682B4,0
5,3,887328,1.51327e+06,1.40311e+06,1.4354e+06,0,All,#4682B4,0
5,4,673239,994527,942528,957462,0,All,#4682B4,0
6,0,3.56907e+06,2.46427e+06,2.9143e+06,2.91673e+06,0,All,#4682B4,0
6,1,3.25357e+06,3.00684e+06,3.38607e+06,3.38802e+06,0,All,#4682B4,0
6,2,2.8592e+06,2.66843e+06,2.58597e+06,2.58688e+06,0,All,#4682B4,0
6,3,1.48452e+06,1.51327e+06,1.4278e+06,1.42702e+06,0,All,#4682B4,0
6,4,921131,994527,953676,952905,0,All,#4682B4,0
7,0,3.71555e+06,2.46427e+06,2.79763e+06,2.79523e+06,0,All,#4682B4,0
7,1,5.51841e+06,3.00684e+06,3.29128e+06,3.28931e+06,0,All,#4682B4,0
7,2,3.36625e+06,2.66843e+06,2.60814e+06,2.60812e+06,0,All,#4682B4,0
7,3,2.71272e+06,1.51327e+06,1.44764e+06,1.44823e+06,0,All,#4682B4,0
7,4,2.07045e+06,994527,963435,964819,0,All,#4682B4,0
8,0,3.8057e+06,2.46427e+06,3.06551e+06,2.98744e+06,0,All,#4682B4,0
8,1,4.67332e+06,3.00684e+06,3.50549e+06,3.44431e+06,0,All,#4682B4,0
8,2,3.92964e+06,2.66843e+06,2.55686e+06,2.5731e+06,0,All,#4682B4,0
8,3,1.631e+06,1.51327e+06,1.4044e+06,1.41724e+06,0,All,#4682B4,0
8,4,1.21409e+06,994527,942909,948786,0,All,#4682B4,0
9,0,4.35782e+06,2.46427e+06,2.78286e+06,2.78491e+06,0,All,#4682B4,0
9,1,5.20291e+06,3.00684e+06,3.27911e+06,3.2808e+06,0,All,#4682B4,0
9,2,3.97471e+06,2.66843e+06,2.61038e+06,2.61003e+06,0,All,#4682B4,0
9,3,2.75779e+06,1.51327e+06,1.45022e+06,1.45013e+06,0,All,#4682B4,0
9,4,2.21693e+06,994527,965263,966104,0,All,#4682B4,0
10,0,4.43669e+06,2.46427e+06,3.30799e+06,3.06004e+06,0,All,#4682B4,0
10,1,3.40005e+06,3.00684e+06,3.68929e+06,3.50124e+06,0,All,#4682B4,0
10,2,3.51273e+06,2.66843e+06,2.50791e+06,2.55711e+06,0,All,#4682B4,0
10,3,1.19156e+06,1.51327e+06,1.37203e+06,1.40605e+06,0,All,#4682B4,0
10,4,1.31551e+06,994527,929228,944677,0,All,#4682B4,0
11,0,1.22562e+06,2.46427e+06,1.25373e+06,1.15827e+06,0,All,#4682B4,0
11,1,1.78469e+06,3.00486e+06,1.76824e+06,1.65392e+06,0,All,#4682B4,0
11,2,2.278e+06,3.457e+06,2.33865e+06,2.21619e+06,0,All,#4682B4,0
11,3,2.15163e+06,3.79865e+06,2.89432e+06,2.7746e+06,0,All,#4682B4,0
11,4,2.47608e+06,4.03622e+06,3.37135e+06,3.27305e+06,0,All,#4682B4,0
12,0,1.30077e+06,2.46427e+06,1.07374e+06,967540,0,All,#4682B4,0
12,1,1.13682e+06,3.00486e+06,1.55025e+06,1.41662e+06,0,All,#4682B4,0
12,2,1.20766e+06,3.457e+06,2.10367e+06,1.95502e+06,0,All,#4682B4,0
12,3,1.55082e+06,3.79865e+06,2.67027e+06,2.52285e+06,0,All,#4682B4,0
12,4,1.46213e+06,4.03622e+06,3.18194e+06,3.05198e+06,0,All,#4682B4,0
13,0,1.43218e+06,2.46427e+06,1.26623e+06,1.15827e+06,0,All,#4682B4,0
13,1,1.81284e+06,3.00486e+06,1.783e+06,1.65392e+06,0,All,#4682B4,0
13,2,1.68645e+06,3.457e+06,2.35398e+06,2.21619e+06,0,All,#4682B4,0
13,3,1.57893e+06,3.79865e+06,2.90831e+06,2.7746e+06,0,All,#4682B4,0
13,4,1.74381e+06,4.03622e+06,3.38296e+06,3.27305e+06,0,All,#4682B4,0
14,0,1.93917e+06,2.46427e+06,2.34618e+06,2.20456e+06,0,All,#4682B4,0
14,1,3.22118e+06,3.00486e+06,2.8987e+06,2.76814e+06,0,All,#4682B4,0
14,2,4.3905e+06,3.457e+06,3.37234e+06,3.26549e+06,0,All,#4682B4,0
14,3,3.83228e+06,3.79865e+06,3.73697e+06,3.65748e+06,0,All,#4682B4,0
14,4,5.26458e+06,4.03622e+06,3.99502e+06,3.94076e+06,0,All,#4682B4,0
15,0,2.22084e+06,2.46427e+06,2.44204e+06,2.27188e+06,0,All,#4682B4,0
15,1,3.39016e+06,3.00486e+06,2.98511e+06,2.83034e+06,0,All,#4682B4,0
15,2,4.00554e+06,3.457e+06,3.44139e+06,3.31672e+06,0,All,#4682B4,0
15,3,4.44256e+06,3.79865e+06,3.78731e+06,3.69562e+06,0,All,#4682B4,0
15,4,4.76697e+06,4.03622e+06,4.02856e+06,3.96678e+06,0,All,#4682B4,0
16,0,2.30851e+06,2.46427e+06,2.08621e+06,1.94185e+06,0,All,#4682B4,0
16,1,2.91701e+06,3.00486e+06,2.6566e+06,2.51447e+06,0,All,#4682B4,0
16,2,2.70845e+06,3.457e+06,3.17186e+06,3.04767e+06,0,All,#4682B4,0
16,3,3.36805e+06,3.79865e+06,3.58666e+06,3.49077e+06,0,All,#4682B4,0
16,4,3.6022e+06,4.03622e+06,3.89102e+06,3.82103e+06,0,All,#4682B4,0
17,0,3.31935e+06,2.46427e+06,3.27516e+06,3.12642e+06,0,All,#4682B4,0
17,1,4.72339e+06,3.00486e+06,3.66414e+06,3.55159e+06,0,All,#4682B4,0
17,2,4.9163e+06,3.457e+06,3.94458e+06,3.86642e+06,0,All,#4682B4,0
17,3,5.86025e+06,3.79865e+06,4.13284e+06,4.08321e+06,0,All,#4682B4,0
17,4,5.37728e+06,4.03622e+06,4.25328e+06,4.22526e+06,0,All,#4682B4,0
18,0,3.46016e+06,2.46427e+06,3.28202e+06,3.21107e+06,0,All,#4682B4,0
18,1,4.92996e+06,3.00486e+06,3.66925e+06,3.61607e+06,0,All,#4682B4,0
18,2,4.76606e+06,3.457e+06,3.94807e+06,3.9138e+06,0,All,#4682B4,0
18,3,5.0622e+06,3.79865e+06,4.13499e+06,4.11364e+06,0,All,#4682B4,0
18,4,5.96874e+06,4.03622e+06,4.25441e+06,4.2433e+06,0,All,#4682B4,0
19,0,4.37089e+06,2.46427e+06,3.31908e+06,3.21034e+06,0,All,#4682B4,0
19,1,3.8127e+06,3.00486e+06,3.69671e+06,3.61553e+06,0,All,#4682B4,0
19,2,4.91628e+06,3.457e+06,3.96699e+06,3.91339e+06,0,All,#4682B4,0
19,3,4.43313e+06,3.79865e+06,4.14842e+06,4.11336e+06,0,All,#4682B4,0
19,4,5.16128e+06,4.03622e+06,4.26443e+06,4.24305e+06,0,All,#4682B4,0
20,0,4.71828e+06,2.46427e+06,3.83282e+06,3.72974e+06,0,All,#4682B4,0
20,1,4.81726e+06,3.00486e+06,4.05744e+06,3.98806e+06,0,All,#4682B4,0
20,2,5.59225e+06,3.457e+06,4.20512e+06,4.16066e+06,0,All,#4682B4,0
20,3,6.14195e+06,3.79865e+06,4.29692e+06,4.26938e+06,0,All,#4682B4,0
20,4,6.5884e+06,4.03622e+06,4.35298e+06,4.3362e+06,0,All,#4682B4,0
