popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
994527,964443,994527,308041,1.68101e+06,944677,680427,944677,292600,1.59675e+06,All
1.02278e+06,998987,1.02278e+06,316793,1.72878e+06,973913,720322,973913,301656,1.64617e+06,All
1.05184e+06,1.03451e+06,1.05184e+06,325793,1.77789e+06,1.00405e+06,761321,1.00405e+06,310991,1.69711e+06,All
1.05536e+06,1.03881e+06,1.05536e+06,326883,1.78384e+06,1.01251e+06,772823,1.01251e+06,313610,1.71141e+06,All
1.08173e+06,1.07105e+06,1.08173e+06,335050,1.82841e+06,1.03513e+06,803552,1.03513e+06,320615,1.74964e+06,All
1.11246e+06,1.10862e+06,1.11246e+06,344569,1.88036e+06,1.06716e+06,846813,1.06716e+06,330538,1.80378e+06,All
1.1162e+06,1.11318e+06,1.1162e+06,345725,1.88666e+06,1.08034e+06,864586,1.08034e+06,334619,1.82606e+06,All
1.14407e+06,1.14726e+06,1.14407e+06,354359,1.93378e+06,1.10019e+06,891094,1.10019e+06,340767,1.85961e+06,All
1.17658e+06,1.187e+06,1.17658e+06,364427,1.98872e+06,1.13423e+06,936549,1.13423e+06,351313,1.91716e+06,All
1.17703e+06,1.18755e+06,1.17703e+06,364568,1.98949e+06,1.14817e+06,955152,1.14817e+06,355629,1.94071e+06,All
1.21e+06,1.22786e+06,1.21e+06,374782,2.04523e+06,1.16934e+06,982767,1.16934e+06,362185,1.97649e+06,All
1.23786e+06,1.26192e+06,1.23786e+06,383410,2.09232e+06,1.20552e+06,1.02897e+06,1.20552e+06,373394,2.03765e+06,All
1.24438e+06,1.26989e+06,1.24438e+06,385430,2.10334e+06,1.216e+06,1.04235e+06,1.216e+06,376638,2.05536e+06,All
1.27974e+06,1.31311e+06,1.27974e+06,396381,2.1631e+06,1.24283e+06,1.07661e+06,1.24283e+06,384949,2.10071e+06,All
1.2987e+06,1.33629e+06,1.2987e+06,402253,2.19514e+06,1.28129e+06,1.12572e+06,1.28129e+06,396862,2.16572e+06,All
1.3161e+06,1.35756e+06,1.3161e+06,407643,2.22455e+06,1.28383e+06,1.12896e+06,1.28383e+06,397648,2.17001e+06,All
1.35349e+06,1.40328e+06,1.35349e+06,419225,2.28776e+06,1.32095e+06,1.17635e+06,1.32095e+06,409144,2.23275e+06,All
1.35953e+06,1.41066e+06,1.35953e+06,421095,2.29797e+06,1.35166e+06,1.21557e+06,1.35166e+06,418657,2.28466e+06,All
