iteration,convergenceIndicator,phase,theta_pop,omega_theta,b
1,3380.94,1,4,1,0.3
2,3214.36,1,2.22118,2.12731,0.480596
3,3166.28,1,0.606327,2.07345,0.461065
4,3155.6,1,0.351325,2.02095,0.444596
5,3134.47,1,0.0854569,1.96978,0.430565
6,3136.21,1,0.00470828,1.9199,0.451297
7,3129.93,1,-0.103367,1.87129,0.441872
8,3129.01,1,0.0124064,1.82391,0.435286
9,3120.64,1,-0.220101,1.77772,0.444271
10,3118.38,1,-0.0778654,1.73271,0.422057
11,3114.42,1,-0.125721,1.68884,0.417948
12,3123.94,1,0.0520922,1.64607,0.422292
13,3114.88,1,0.00422515,1.6044,0.415696
14,3119.59,1,0.0349116,1.56377,0.423253
15,3121.53,1,0.00315371,1.52418,0.429638
16,3111.61,1,-0.107078,1.48558,0.422969
17,3110.56,1,-0.162699,1.44797,0.421873
18,3106.45,1,-0.153854,1.4113,0.418017
19,3106.33,1,-0.105165,1.37557,0.411879
20,3106.45,1,-0.0281877,1.34074,0.407389
21,3102.01,1,-0.0784485,1.30679,0.403459
22,3110.64,1,-0.0160309,1.2737,0.41647
23,3109.02,1,-0.119846,1.24145,0.427483
24,3110.86,1,-0.117791,1.21002,0.431638
25,3111.21,1,-0.088279,1.17938,0.433298
26,3101.94,1,-0.113782,1.14952,0.423562
27,3102.72,1,-0.151898,1.12041,0.425181
28,3103.09,1,-0.118429,1.09204,0.421187
29,3105.1,1,-0.09576,1.06439,0.423685
30,3110.31,1,-0.0180597,1.03744,0.420072
31,3104.44,1,-0.0627431,1.01117,0.42312
32,3096.43,1,-0.127626,0.985566,0.416512
33,3090.43,1,-0.204235,0.960611,0.41215
34,3094.32,1,-0.168981,0.936287,0.417599
35,3093.76,1,-0.139159,0.91258,0.410517
36,3092.69,1,-0.205576,0.889473,0.419014
37,3096.62,1,-0.159863,0.866951,0.419656
38,3093.6,1,-0.129621,0.844999,0.420449
39,3089.03,1,-0.251829,0.823604,0.423678
40,3099.25,1,-0.154614,0.802749,0.424358
41,3091.88,1,-0.172357,0.782423,0.421355
42,3094.31,1,-0.187337,0.762612,0.423752
43,3096.7,1,-0.205026,0.743302,0.431066
44,3087.29,1,-0.20459,0.724481,0.419668
45,3089.95,1,-0.227223,0.706137,0.42159
46,3086.69,1,-0.214162,0.688257,0.41748
47,3088.91,1,-0.188714,0.67083,0.420856
48,3090.22,1,-0.175657,0.653844,0.422341
49,3090.15,1,-0.148042,0.637289,0.415927
50,3086.5,1,-0.143581,0.621152,0.412448
51,3093.23,1,-0.134222,0.634444,0.418594
52,3092.84,1,-0.182445,0.657703,0.422823
53,3091.87,1,-0.123391,0.64105,0.418435
54,3081.09,1,-0.180882,0.624818,0.406045
55,3088.32,1,-0.159691,0.608997,0.417833
56,3083.47,1,-0.200808,0.593577,0.412053
57,3086.69,1,-0.251597,0.578547,0.428148
58,3086.82,1,-0.212619,0.572252,0.422153
59,3083.16,1,-0.226842,0.557763,0.420747
60,3080.35,1,-0.233377,0.568774,0.410989
61,3083.6,1,-0.145633,0.620368,0.403287
62,3081.58,1,-0.170873,0.60466,0.412602
63,3081.8,1,-0.189931,0.589349,0.410719
64,3084.02,1,-0.187282,0.574427,0.412968
65,3086.36,1,-0.132049,0.577177,0.410914
66,3082.24,1,-0.176784,0.575149,0.406502
67,3090.26,1,-0.085298,0.609874,0.407645
68,3091.92,1,-0.13293,0.636927,0.419505
69,3086.9,1,-0.16984,0.6208,0.416417
70,3089.38,1,-0.273589,0.612343,0.433785
71,3086.37,1,-0.210684,0.625903,0.416696
72,3088.38,1,-0.1815,0.610054,0.420336
73,3083.45,1,-0.226305,0.594608,0.416514
74,3087.89,1,-0.169668,0.603561,0.420297
75,3095.33,1,-0.0879617,0.646482,0.419273
76,3088.11,1,-0.1148,0.630112,0.408823
77,3092.93,1,-0.108604,0.649296,0.412926
78,3087.9,1,-0.162851,0.632855,0.416551
79,3084.59,1,-0.236535,0.616831,0.420561
80,3087.24,1,-0.143517,0.601212,0.412375
81,3090.55,1,-0.166032,0.585989,0.426674
82,3085.94,1,-0.198765,0.571152,0.424114
83,3086.39,1,-0.186924,0.55669,0.421053
84,3086.56,1,-0.19225,0.564118,0.42336
85,3084.57,1,-0.289119,0.549834,0.427106
86,3081.27,1,-0.257731,0.544592,0.423047
87,3076.21,1,-0.263352,0.530802,0.412015
88,3089.61,1,-0.236963,0.517362,0.438451
89,3076.19,1,-0.210545,0.504262,0.416528
90,3084.74,1,-0.204446,0.564681,0.421872
91,3091.5,1,-0.23188,0.617386,0.434068
92,3082.96,1,-0.293988,0.601753,0.424998
93,3087.19,1,-0.265479,0.586516,0.433269
94,3083.33,1,-0.187316,0.61864,0.411606
95,3087.42,1,-0.20758,0.602976,0.422746
96,3083.67,1,-0.276642,0.587708,0.427107
97,3078.53,1,-0.291727,0.572827,0.420569
98,3083.1,1,-0.292068,0.558323,0.430818
99,3091.77,1,-0.234478,0.547593,0.437438
100,3080.75,1,-0.26855,0.533728,0.425958
101,3080.59,1,-0.242509,0.544879,0.413673
102,3085.86,1,-0.18083,0.5511,0.420481
103,3088.58,1,-0.228014,0.537146,0.430228
104,3089.34,1,-0.203509,0.58859,0.424525
105,3085.53,1,-0.24412,0.573686,0.425553
106,3087.27,1,-0.256126,0.55916,0.433414
107,3093.31,1,-0.216738,0.62425,0.437504
108,3087.61,1,-0.225267,0.608443,0.424761
109,3087.43,1,-0.260737,0.593037,0.427818
110,3084.5,1,-0.228283,0.594027,0.417933
111,3083.6,1,-0.255625,0.578986,0.424905
112,3086.78,1,-0.196162,0.580068,0.425032
113,3088.59,1,-0.197894,0.626416,0.41858
114,3092.97,1,-0.175555,0.610555,0.427027
115,3090.88,1,-0.210765,0.595095,0.430512
116,3088.2,1,-0.157727,0.580027,0.418597
117,3090.66,1,-0.201152,0.609806,0.429154
118,3085.2,1,-0.211685,0.594365,0.419472
119,3094.95,1,-0.210809,0.674515,0.427661
120,3091.5,1,-0.186934,0.657436,0.429316
