ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
1,0,2.46427e+06,-0.696793,-0.696793,2.06225e+06,-0.550382,-0.550382,1.87372e+06,-0.366,-0.366,2.46427e+06,-0.6843,-0.6843,0,All,#4682B4,0
1,1,3.00684e+06,-0.415292,-0.415292,2.63438e+06,-0.224718,-0.224718,2.44741e+06,-0.0598372,-0.0598372,3.00684e+06,-0.34756,-0.34756,0,All,#4682B4,0
1,2,2.66843e+06,-1.0357,-1.0357,2.70437e+06,-1.1245,-1.1245,2.69333e+06,-1.11934,-1.11934,2.66843e+06,-1.04381,-1.04381,0,All,#4682B4,0
1,3,1.51327e+06,-0.48514,-0.48514,1.61717e+06,-0.544131,-0.544131,1.67786e+06,-0.610636,-0.610636,1.51327e+06,-0.486377,-0.486377,0,All,#4682B4,0
1,4,994527,-1.91265,-1.91265,1.04741e+06,-1.97921,-1.97921,1.07884e+06,-1.99097,-1.99097,994527,-2.0114,-2.0114,0,All,#4682B4,0
2,0,2.46427e+06,-0.539477,-0.539477,2.29846e+06,-0.645261,-0.645261,2.07878e+06,-0.461629,-0.461629,2.46427e+06,-0.422042,-0.422042,0,All,#4682B4,0
2,1,3.00684e+06,-0.192811,-0.192811,2.85735e+06,0.0109382,0.0109382,2.65039e+06,0.197869,0.197869,3.00684e+06,-0.0627794,-0.0627794,0,All,#4682B4,0
2,2,2.66843e+06,-0.772395,-0.772395,2.6887e+06,-0.877494,-0.877494,2.70405e+06,-0.886041,-0.886041,2.66843e+06,-0.712823,-0.712823,0,All,#4682B4,0
2,3,1.51327e+06,-0.471366,-0.471366,1.55219e+06,-0.501753,-0.501753,1.61236e+06,-0.57195,-0.57195,1.51327e+06,-0.438428,-0.438428,0,All,#4682B4,0
2,4,994527,-1.44872,-1.44872,1.0147e+06,-1.54281,-1.54281,1.04326e+06,-1.56581,-1.56581,994527,-1.54281,-1.54281,0,All,#4682B4,0
3,0,2.46427e+06,-0.503692,-0.503692,2.09237e+06,-0.345776,-0.345776,1.86009e+06,-0.091382,-0.091382,2.46427e+06,-0.352579,-0.352579,0,All,#4682B4,0
3,1,3.00684e+06,-0.70714,-0.70714,2.66349e+06,-0.701949,-0.701949,2.43355e+06,-0.543119,-0.543119,3.00684e+06,-0.721309,-0.721309,0,All,#4682B4,0
3,2,2.66843e+06,-1.31379,-1.31379,2.70398e+06,-1.47187,-1.47187,2.69167e+06,-1.4677,-1.4677,2.66843e+06,-1.31342,-1.31342,0,All,#4682B4,0
3,3,1.51327e+06,-1.08882,-1.08882,1.60822e+06,-1.23512,-1.23512,1.68319e+06,-1.28624,-1.28624,1.51327e+06,-1.06559,-1.06559,0,All,#4682B4,0
3,4,994527,-1.60119,-1.60119,1.04276e+06,-1.77141,-1.77141,1.08139e+06,-1.79326,-1.79326,994527,-1.64143,-1.64143,0,All,#4682B4,0
4,0,2.46427e+06,-0.383594,-0.383594,2.3326e+06,-0.39443,-0.39443,2.18395e+06,-0.259083,-0.259083,2.46427e+06,-0.276702,-0.276702,0,All,#4682B4,0
4,1,3.00684e+06,-0.106272,-0.106272,2.88859e+06,0.00363991,0.00363991,2.75078e+06,0.123207,0.123207,3.00684e+06,-0.0190199,-0.0190199,0,All,#4682B4,0
