rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,1,0,2.68166e+06,-0.973669,-0.973669,0,All,#4682B4,0
2,1,0,2.53189e+06,-0.890305,-0.890305,0,All,#4682B4,0
3,1,0,1.56321e+06,0.0346336,0.0346336,0,All,#4682B4,0
4,1,0,1.56725e+06,0.0284113,0.0284113,0,All,#4682B4,0
5,1,0,1.87516e+06,-0.367542,-0.367542,0,All,#4682B4,0
6,1,0,3.93669e+06,-1.42295,-1.42295,0,All,#4682B4,0
7,1,0,2.01909e+06,-0.511208,-0.511208,0,All,#4682B4,0
8,1,0,1.54714e+06,0.0597528,0.0597528,0,All,#4682B4,0
9,1,0,1.62871e+06,-0.0625855,-0.0625855,0,All,#4682B4,0
10,1,0,1.25201e+06,0.635551,0.635551,0,All,#4682B4,0
1,1,1,3.19468e+06,-0.603235,-0.603235,0,All,#4682B4,0
2,1,1,3.06624e+06,-0.528688,-0.528688,0,All,#4682B4,0
3,1,1,2.1204e+06,0.298424,0.298424,0,All,#4682B4,0
4,1,1,2.12481e+06,0.292859,0.292859,0,All,#4682B4,0
5,1,1,2.44886e+06,-0.0612158,-0.0612158,0,All,#4682B4,0
6,1,1,4.12051e+06,-1.00311,-1.00311,0,All,#4682B4,0
7,1,1,2.5923e+06,-0.189686,-0.189686,0,All,#4682B4,0
8,1,1,2.10279e+06,0.320886,0.320886,0,All,#4682B4,0
9,1,1,2.19146e+06,0.211487,0.211487,0,All,#4682B4,0
10,1,1,1.7664e+06,0.835785,0.835785,0,All,#4682B4,0
1,1,2,2.62861e+06,-1.08823,-1.08823,0,All,#4682B4,0
2,1,2,2.65479e+06,-1.101,-1.101,0,All,#4682B4,0
3,1,2,2.59838e+06,-1.07317,-1.07317,0,All,#4682B4,0
4,1,2,2.60054e+06,-1.07426,-1.07426,0,All,#4682B4,0
5,1,2,2.694e+06,-1.11966,-1.11966,0,All,#4682B4,0
6,1,2,2.39261e+06,-0.960523,-0.960523,0,All,#4682B4,0
7,1,2,2.70404e+06,-1.12435,-1.12435,0,All,#4682B4,0
8,1,2,2.58969e+06,-1.06877,-1.06877,0,All,#4682B4,0
9,1,2,2.6295e+06,-1.08867,-1.08867,0,All,#4682B4,0
10,1,2,2.33675e+06,-0.926522,-0.926522,0,All,#4682B4,0
1,1,3,1.46842e+06,-0.357858,-0.357858,0,All,#4682B4,0
2,1,3,1.49839e+06,-0.39836,-0.39836,0,All,#4682B4,0
3,1,3,1.80156e+06,-0.732332,-0.732332,0,All,#4682B4,0
4,1,3,1.79931e+06,-0.73027,-0.73027,0,All,#4682B4,0
5,1,3,1.67807e+06,-0.610858,-0.610858,0,All,#4682B4,0
6,1,3,1.30414e+06,-0.102765,-0.102765,0,All,#4682B4,0
7,1,3,1.63046e+06,-0.559115,-0.559115,0,All,#4682B4,0
8,1,3,1.80919e+06,-0.73929,-0.73929,0,All,#4682B4,0
9,1,3,1.77345e+06,-0.706165,-0.706165,0,All,#4682B4,0
