bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
0,2.26467e+06,1.2632e+06,4.54459e+06,2.35765e+06,1.50717e+06,3.34366e+06,921254,237268,1.73859e+06,4.62064e+06,3.0454e+06,6.75415e+06,#GROUP:ctrl
1,3.30567e+06,1.46076e+06,4.87361e+06,2.83452e+06,1.93457e+06,3.8902e+06,1.20903e+06,289442,2.13804e+06,5.08758e+06,3.73424e+06,6.71829e+06,#GROUP:ctrl
2,4.19802e+06,1.44705e+06,5.25427e+06,3.30009e+06,2.30909e+06,4.36751e+06,1.4478e+06,270175,2.51759e+06,5.50372e+06,4.12741e+06,7.28076e+06,#GROUP:ctrl
3,4.13271e+06,1.56488e+06,6.0011e+06,3.64512e+06,2.59503e+06,4.7151e+06,1.68712e+06,531183,2.76615e+06,5.70862e+06,4.52166e+06,7.30876e+06,#GROUP:ctrl
4,4.96412e+06,1.60297e+06,6.27857e+06,3.93845e+06,2.936e+06,4.99232e+06,1.82984e+06,580707,3.01915e+06,6.03971e+06,4.83114e+06,7.56306e+06,#GROUP:ctrl
0,3.28174e+06,1.631e+06,4.39726e+06,2.29956e+06,1.57984e+06,3.20941e+06,891772,240349,1.64854e+06,4.64948e+06,2.95539e+06,6.9798e+06,#GROUP:vvDD
1,3.32681e+06,2.13242e+06,5.36066e+06,2.90105e+06,1.95738e+06,3.90801e+06,1.25244e+06,307847,2.11542e+06,5.13688e+06,3.63879e+06,6.83486e+06,#GROUP:vvDD
2,2.98314e+06,1.02818e+06,3.95218e+06,2.51034e+06,1.80987e+06,3.16213e+06,1.16155e+06,353720,1.89857e+06,3.90218e+06,3.07322e+06,4.81422e+06,#GROUP:vvDD
3,1.23663e+06,729578,2.73525e+06,1.54203e+06,1.1301e+06,1.96201e+06,705776,208293,1.21982e+06,2.47542e+06,1.93637e+06,3.2004e+06,#GROUP:vvDD
4,797185,183088,2.14369e+06,1.00179e+06,746641,1.30732e+06,475050,139694,796785,1.60827e+06,1.24216e+06,2.04334e+06,#GROUP:vvDD
