id,rho_SAEM,kappa_SAEM,psi_SAEM,phi_SAEM,beta_SAEM,alpha_SAEM,delta_SAEM,theta_SAEM,scaling_SAEM,rho_mean,kappa_mean,psi_mean,phi_mean,beta_mean,alpha_mean,delta_mean,theta_mean,scaling_mean,rho_mode,kappa_mode,psi_mode,phi_mode,beta_mode,alpha_mode,delta_mode,theta_mode,scaling_mode,rho_sd,kappa_sd,psi_sd,phi_sd,beta_sd,alpha_sd,delta_sd,theta_sd,scaling_sd,GROUP
1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.39877,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.414392,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.531264,5714.73,0,0,0,0,0,0,0,0.419204,0,vvDD
2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.288146,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.278994,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.404542,5714.73,0,0,0,0,0,0,0,0.388093,0,vvDD
3,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.437611,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.396496,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.540071,5714.73,0,0,0,0,0,0,0,0.425385,0,vvDD
4,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.235765,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.260294,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.343256,5714.73,0,0,0,0,0,0,0,0.339102,0,vvDD
5,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0926052,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.106751,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.01067,5714.73,0,0,0,0,0,0,0,0.369309,0,vvDD
6,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0761243,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0322843,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0334195,5714.73,0,0,0,0,0,0,0,0.319161,0,vvDD
7,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0464665,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0229968,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0241464,5714.73,0,0,0,0,0,0,0,0.216736,0,vvDD
8,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.128445,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.101878,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0662216,5714.73,0,0,0,0,0,0,0,0.285106,0,vvDD
9,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0204986,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0301022,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0291126,5714.73,0,0,0,0,0,0,0,0.215987,0,vvDD
10,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.13644,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.209263,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.0994,5714.73,0,0,0,0,0,0,0,0.297436,0,vvDD
11,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.00659,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.999181,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.08819,5714.73,0,0,0,0,0,0,0,0.296066,0,ctrl
12,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.22023,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.17256,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.28741,5714.73,0,0,0,0,0,0,0,0.305029,0,ctrl
13,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.0045,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.987973,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.08819,5714.73,0,0,0,0,0,0,0,0.296849,0,ctrl
14,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.254581,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.252914,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.331507,5714.73,0,0,0,0,0,0,0,0.308785,0,ctrl
15,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.192751,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.201658,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.293698,5714.73,0,0,0,0,0,0,0,0.287344,0,ctrl
16,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.396612,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.400136,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.488014,5714.73,0,0,0,0,0,0,0,0.280165,0,ctrl
17,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.219721,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.195001,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.129313,5714.73,0,0,0,0,0,0,0,0.305951,0,ctrl
18,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.263943,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.197987,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.166915,5714.73,0,0,0,0,0,0,0,0.287949,0,ctrl
19,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.250261,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.214063,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.166596,5714.73,0,0,0,0,0,0,0,0.2789,0,ctrl
20,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.44302,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.427725,5714.73,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.386072,5714.73,0,0,0,0,0,0,0,0.293403,0,ctrl
