id,eta_rho_SAEM,eta_kappa_SAEM,eta_psi_SAEM,eta_phi_SAEM,eta_beta_SAEM,eta_alpha_SAEM,eta_delta_SAEM,eta_theta_SAEM,eta_scaling_SAEM,eta_rho_mean,eta_kappa_mean,eta_psi_mean,eta_phi_mean,eta_beta_mean,eta_alpha_mean,eta_delta_mean,eta_theta_mean,eta_scaling_mean,eta_rho_mode,eta_kappa_mode,eta_psi_mode,eta_phi_mode,eta_beta_mode,eta_alpha_mode,eta_delta_mode,eta_theta_mode,eta_scaling_mode,eta_rho_sd,eta_kappa_sd,eta_psi_sd,eta_phi_sd,eta_beta_sd,eta_alpha_sd,eta_delta_sd,eta_theta_sd,eta_scaling_sd,GROUP
1,0,0,0,0,0,0,0,-0.209043,0,0,0,0,0,0,0,0,-0.224417,0,0,0,0,0,0,0,0,-0.341288,0,0,0,0,0,0,0,0,0.419204,0,vvDD
2,0,0,0,0,0,0,0,-0.0984193,0,0,0,0,0,0,0,0,-0.0890182,0,0,0,0,0,0,0,0,-0.214566,0,0,0,0,0,0,0,0,0.388093,0,vvDD
3,0,0,0,0,0,0,0,-0.247884,0,0,0,0,0,0,0,0,-0.20652,0,0,0,0,0,0,0,0,-0.350095,0,0,0,0,0,0,0,0,0.425385,0,vvDD
4,0,0,0,0,0,0,0,-0.0460379,0,0,0,0,0,0,0,0,-0.070318,0,0,0,0,0,0,0,0,-0.15328,0,0,0,0,0,0,0,0,0.339102,0,vvDD
5,0,0,0,0,0,0,0,0.282332,0,0,0,0,0,0,0,0,0.296726,0,0,0,0,0,0,0,0,0.200646,0,0,0,0,0,0,0,0,0.369309,0,vvDD
6,0,0,0,0,0,0,0,0.265851,0,0,0,0,0,0,0,0,0.22226,0,0,0,0,0,0,0,0,0.223395,0,0,0,0,0,0,0,0,0.319161,0,vvDD
7,0,0,0,0,0,0,0,0.14326,0,0,0,0,0,0,0,0,0.166979,0,0,0,0,0,0,0,0,0.165829,0,0,0,0,0,0,0,0,0.216736,0,vvDD
8,0,0,0,0,0,0,0,0.318172,0,0,0,0,0,0,0,0,0.291854,0,0,0,0,0,0,0,0,0.256197,0,0,0,0,0,0,0,0,0.285106,0,vvDD
9,0,0,0,0,0,0,0,0.169228,0,0,0,0,0,0,0,0,0.159873,0,0,0,0,0,0,0,0,0.160863,0,0,0,0,0,0,0,0,0.215987,0,vvDD
10,0,0,0,0,0,0,0,0.326167,0,0,0,0,0,0,0,0,0.399239,0,0,0,0,0,0,0,0,0.289376,0,0,0,0,0,0,0,0,0.297436,0,vvDD
11,0,0,0,0,0,0,0,-0.816866,0,0,0,0,0,0,0,0,-0.809206,0,0,0,0,0,0,0,0,-0.89821,0,0,0,0,0,0,0,0,0.296066,0,ctrl
12,0,0,0,0,0,0,0,-1.0305,0,0,0,0,0,0,0,0,-0.982587,0,0,0,0,0,0,0,0,-1.09743,0,0,0,0,0,0,0,0,0.305029,0,ctrl
13,0,0,0,0,0,0,0,-0.814769,0,0,0,0,0,0,0,0,-0.797997,0,0,0,0,0,0,0,0,-0.89821,0,0,0,0,0,0,0,0,0.296849,0,ctrl
14,0,0,0,0,0,0,0,-0.0648538,0,0,0,0,0,0,0,0,-0.0629383,0,0,0,0,0,0,0,0,-0.141532,0,0,0,0,0,0,0,0,0.308785,0,ctrl
15,0,0,0,0,0,0,0,-0.00302447,0,0,0,0,0,0,0,0,-0.0116819,0,0,0,0,0,0,0,0,-0.103723,0,0,0,0,0,0,0,0,0.287344,0,ctrl
16,0,0,0,0,0,0,0,-0.206886,0,0,0,0,0,0,0,0,-0.210161,0,0,0,0,0,0,0,0,-0.298039,0,0,0,0,0,0,0,0,0.280165,0,ctrl
17,0,0,0,0,0,0,0,0.409448,0,0,0,0,0,0,0,0,0.384977,0,0,0,0,0,0,0,0,0.319289,0,0,0,0,0,0,0,0,0.305951,0,ctrl
18,0,0,0,0,0,0,0,0.45367,0,0,0,0,0,0,0,0,0.387963,0,0,0,0,0,0,0,0,0.356891,0,0,0,0,0,0,0,0,0.287949,0,ctrl
19,0,0,0,0,0,0,0,0.439987,0,0,0,0,0,0,0,0,0.404039,0,0,0,0,0,0,0,0,0.356572,0,0,0,0,0,0,0,0,0.2789,0,ctrl
20,0,0,0,0,0,0,0,0.632747,0,0,0,0,0,0,0,0,0.6177,0,0,0,0,0,0,0,0,0.576047,0,0,0,0,0,0,0,0,0.293403,0,ctrl
