rep,id,rho,kappa,psi,phi,beta,alpha,delta,theta,scaling,GROUP
1,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0794646,5714.73,vvDD
2,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.154899,5714.73,vvDD
3,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.746106,5714.73,vvDD
4,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.743099,5714.73,vvDD
5,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.530341,5714.73,vvDD
6,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.469179,5714.73,vvDD
7,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.440392,5714.73,vvDD
8,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.758155,5714.73,vvDD
9,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.698056,5714.73,vvDD
10,1,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-1.00073,5714.73,vvDD
1,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.639159,5714.73,vvDD
2,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.0782835,5714.73,vvDD
3,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.35703,5714.73,vvDD
4,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.015221,5714.73,vvDD
5,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.338377,5714.73,vvDD
6,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.153387,5714.73,vvDD
7,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.509586,5714.73,vvDD
8,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.289377,5714.73,vvDD
9,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,0.556288,5714.73,vvDD
10,2,-0.65352,6.65518,-26.6715,-4.3295,33.3448,-1.70462,3.40288,-0.142622,5714.73,vvDD
