id,rho_SAEM,kappa_SAEM,psi_SAEM,phi_SAEM,beta_SAEM,alpha_SAEM,delta_SAEM,theta_SAEM,scaling_SAEM,rho_mean,kappa_mean,psi_mean,phi_mean,beta_mean,alpha_mean,delta_mean,theta_mean,scaling_mean,rho_mode,kappa_mode,psi_mode,phi_mode,beta_mode,alpha_mode,delta_mode,theta_mode,scaling_mode,rho_sd,kappa_sd,psi_sd,phi_sd,beta_sd,alpha_sd,delta_sd,theta_sd,scaling_sd,GROUP
1,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,6.664e-08,0,vvDD
2,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,5.16191e-08,0,vvDD
3,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,4.21468e-08,0,vvDD
4,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,4.21468e-08,0,vvDD
5,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,8.9407e-08,0,vvDD
6,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,5.16191e-08,0,vvDD
7,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,5.16191e-08,0,vvDD
8,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,6.664e-08,0,vvDD
9,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,7.88495e-08,0,vvDD
10,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,5.16191e-08,0,vvDD
11,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,4.21468e-08,0,ctrl
12,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,5.96046e-08,0,ctrl
13,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,2.98023e-08,0,ctrl
14,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,6.664e-08,0,ctrl
15,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,4.21468e-08,0,ctrl
16,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,6.664e-08,0,ctrl
17,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,5.96046e-08,0,ctrl
18,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,7.88495e-08,0,ctrl
19,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,2.98023e-08,0,ctrl
20,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,-2,3,-20,2,5,4,5,-2.63844,5714,0,0,0,0,0,0,0,0,0,ctrl
