rep,id,rho,kappa,psi,phi,beta,alpha,delta,theta,scaling,GROUP
1,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,1,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,2,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,3,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,4,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,5,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,6,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,7,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,8,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,9,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
2,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
3,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
4,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
5,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
6,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
7,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
8,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
9,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
10,10,-2,3,-20,2,5,4,5,-2.63844,5714,vvDD
1,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
2,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
3,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
10,11,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
1,12,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
2,12,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
3,12,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
4,12,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
5,12,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
6,12,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
7,12,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
8,12,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
9,12,-2,3,-20,2,5,4,5,-2.63844,5714,ctrl
