rep,id,eta_rho,eta_kappa,eta_psi,eta_phi,eta_beta,eta_alpha,eta_delta,eta_theta,eta_scaling,GROUP
1,1,0,0,0,0,0,0,0,-5.56381e-09,0,vvDD
2,1,0,0,0,0,0,0,0,-5.2907e-09,0,vvDD
3,1,0,0,0,0,0,0,0,-2.06747e-08,0,vvDD
4,1,0,0,0,0,0,0,0,4.01216e-09,0,vvDD
5,1,0,0,0,0,0,0,0,1.46413e-08,0,vvDD
6,1,0,0,0,0,0,0,0,-5.33347e-08,0,vvDD
7,1,0,0,0,0,0,0,0,-3.28205e-08,0,vvDD
8,1,0,0,0,0,0,0,0,4.54259e-08,0,vvDD
9,1,0,0,0,0,0,0,0,-4.61491e-08,0,vvDD
10,1,0,0,0,0,0,0,0,7.74366e-09,0,vvDD
1,2,0,0,0,0,0,0,0,-2.68798e-08,0,vvDD
2,2,0,0,0,0,0,0,0,3.26479e-08,0,vvDD
3,2,0,0,0,0,0,0,0,1.20864e-08,0,vvDD
4,2,0,0,0,0,0,0,0,-3.93e-08,0,vvDD
5,2,0,0,0,0,0,0,0,1.24332e-08,0,vvDD
6,2,0,0,0,0,0,0,0,2.2763e-08,0,vvDD
7,2,0,0,0,0,0,0,0,2.32797e-08,0,vvDD
8,2,0,0,0,0,0,0,0,-2.5568e-08,0,vvDD
9,2,0,0,0,0,0,0,0,1.45428e-08,0,vvDD
10,2,0,0,0,0,0,0,0,-3.29519e-08,0,vvDD
1,3,0,0,0,0,0,0,0,-1.70179e-08,0,vvDD
2,3,0,0,0,0,0,0,0,-4.42679e-09,0,vvDD
3,3,0,0,0,0,0,0,0,-9.51569e-09,0,vvDD
4,3,0,0,0,0,0,0,0,-1.30961e-08,0,vvDD
5,3,0,0,0,0,0,0,0,1.57165e-08,0,vvDD
6,3,0,0,0,0,0,0,0,-8.41493e-09,0,vvDD
7,3,0,0,0,0,0,0,0,2.96075e-08,0,vvDD
8,3,0,0,0,0,0,0,0,-3.57322e-08,0,vvDD
9,3,0,0,0,0,0,0,0,-2.89355e-08,0,vvDD
10,3,0,0,0,0,0,0,0,-2.19747e-08,0,vvDD
1,4,0,0,0,0,0,0,0,-1.99771e-08,0,vvDD
2,4,0,0,0,0,0,0,0,-1.96333e-08,0,vvDD
3,4,0,0,0,0,0,0,0,-4.13091e-10,0,vvDD
4,4,0,0,0,0,0,0,0,5.01369e-08,0,vvDD
5,4,0,0,0,0,0,0,0,4.87415e-08,0,vvDD
6,4,0,0,0,0,0,0,0,2.3651e-08,0,vvDD
7,4,0,0,0,0,0,0,0,-1.62434e-09,0,vvDD
8,4,0,0,0,0,0,0,0,3.84347e-08,0,vvDD
9,4,0,0,0,0,0,0,0,3.16107e-08,0,vvDD
10,4,0,0,0,0,0,0,0,-1.51059e-08,0,vvDD
1,5,0,0,0,0,0,0,0,1.3336e-08,0,vvDD
2,5,0,0,0,0,0,0,0,-3.18221e-08,0,vvDD
3,5,0,0,0,0,0,0,0,-4.52549e-08,0,vvDD
4,5,0,0,0,0,0,0,0,3.16871e-08,0,vvDD
5,5,0,0,0,0,0,0,0,-3.70685e-08,0,vvDD
6,5,0,0,0,0,0,0,0,3.27929e-08,0,vvDD
7,5,0,0,0,0,0,0,0,1.48574e-08,0,vvDD
8,5,0,0,0,0,0,0,0,-3.37312e-10,0,vvDD
9,5,0,0,0,0,0,0,0,6.56807e-08,0,vvDD
10,5,0,0,0,0,0,0,0,-2.07717e-08,0,vvDD
1,6,0,0,0,0,0,0,0,-1.73003e-08,0,vvDD
2,6,0,0,0,0,0,0,0,-2.47842e-08,0,vvDD
3,6,0,0,0,0,0,0,0,-2.92972e-08,0,vvDD
4,6,0,0,0,0,0,0,0,4.97359e-08,0,vvDD
5,6,0,0,0,0,0,0,0,4.12e-09,0,vvDD
6,6,0,0,0,0,0,0,0,-1.60014e-08,0,vvDD
7,6,0,0,0,0,0,0,0,3.47459e-08,0,vvDD
8,6,0,0,0,0,0,0,0,-2.38912e-08,0,vvDD
9,6,0,0,0,0,0,0,0,-2.35848e-08,0,vvDD
10,6,0,0,0,0,0,0,0,1.50157e-08,0,vvDD
1,7,0,0,0,0,0,0,0,-9.22453e-09,0,vvDD
2,7,0,0,0,0,0,0,0,-5.9848e-09,0,vvDD
3,7,0,0,0,0,0,0,0,-5.89293e-08,0,vvDD
4,7,0,0,0,0,0,0,0,1.35958e-08,0,vvDD
5,7,0,0,0,0,0,0,0,-5.72935e-08,0,vvDD
6,7,0,0,0,0,0,0,0,5.19024e-08,0,vvDD
7,7,0,0,0,0,0,0,0,-2.36503e-08,0,vvDD
8,7,0,0,0,0,0,0,0,1.77705e-09,0,vvDD
9,7,0,0,0,0,0,0,0,1.50882e-08,0,vvDD
10,7,0,0,0,0,0,0,0,-2.92147e-08,0,vvDD
1,8,0,0,0,0,0,0,0,1.36494e-08,0,vvDD
2,8,0,0,0,0,0,0,0,3.46355e-08,0,vvDD
3,8,0,0,0,0,0,0,0,-3.37107e-08,0,vvDD
4,8,0,0,0,0,0,0,0,3.59271e-08,0,vvDD
5,8,0,0,0,0,0,0,0,1.39723e-08,0,vvDD
6,8,0,0,0,0,0,0,0,-7.036e-08,0,vvDD
7,8,0,0,0,0,0,0,0,-1.40398e-08,0,vvDD
8,8,0,0,0,0,0,0,0,3.76202e-08,0,vvDD
9,8,0,0,0,0,0,0,0,-8.38329e-09,0,vvDD
10,8,0,0,0,0,0,0,0,-4.44609e-08,0,vvDD
1,9,0,0,0,0,0,0,0,5.99458e-08,0,vvDD
2,9,0,0,0,0,0,0,0,7.03043e-08,0,vvDD
3,9,0,0,0,0,0,0,0,3.37709e-08,0,vvDD
4,9,0,0,0,0,0,0,0,-3.84043e-08,0,vvDD
5,9,0,0,0,0,0,0,0,-5.812e-08,0,vvDD
6,9,0,0,0,0,0,0,0,-3.70906e-08,0,vvDD
7,9,0,0,0,0,0,0,0,3.82257e-08,0,vvDD
8,9,0,0,0,0,0,0,0,3.93286e-08,0,vvDD
9,9,0,0,0,0,0,0,0,9.63834e-08,0,vvDD
10,9,0,0,0,0,0,0,0,-5.09559e-08,0,vvDD
1,10,0,0,0,0,0,0,0,-2.01011e-09,0,vvDD
2,10,0,0,0,0,0,0,0,-3.1809e-08,0,vvDD
3,10,0,0,0,0,0,0,0,3.27008e-08,0,vvDD
4,10,0,0,0,0,0,0,0,4.68158e-08,0,vvDD
5,10,0,0,0,0,0,0,0,-4.59535e-08,0,vvDD
6,10,0,0,0,0,0,0,0,1.24787e-08,0,vvDD
7,10,0,0,0,0,0,0,0,1.86587e-08,0,vvDD
8,10,0,0,0,0,0,0,0,5.15138e-08,0,vvDD
9,10,0,0,0,0,0,0,0,4.7587e-08,0,vvDD
10,10,0,0,0,0,0,0,0,-5.79295e-08,0,vvDD
1,11,0,0,0,0,0,0,0,1.54437e-08,0,ctrl
2,11,0,0,0,0,0,0,0,-1.10836e-08,0,ctrl
3,11,0,0,0,0,0,0,0,-3.86229e-08,0,ctrl
4,11,0,0,0,0,0,0,0,5.55935e-08,0,ctrl
5,11,0,0,0,0,0,0,0,2.119e-08,0,ctrl
6,11,0,0,0,0,0,0,0,-6.32457e-09,0,ctrl
7,11,0,0,0,0,0,0,0,1.17857e-08,0,ctrl
8,11,0,0,0,0,0,0,0,-4.42317e-08,0,ctrl
9,11,0,0,0,0,0,0,0,3.38359e-08,0,ctrl
10,11,0,0,0,0,0,0,0,5.02753e-08,0,ctrl
1,12,0,0,0,0,0,0,0,6.26943e-08,0,ctrl
2,12,0,0,0,0,0,0,0,-2.20997e-08,0,ctrl
3,12,0,0,0,0,0,0,0,2.25572e-08,0,ctrl
4,12,0,0,0,0,0,0,0,3.8792e-09,0,ctrl
5,12,0,0,0,0,0,0,0,3.90675e-09,0,ctrl
6,12,0,0,0,0,0,0,0,9.52722e-09,0,ctrl
7,12,0,0,0,0,0,0,0,-3.08111e-09,0,ctrl
8,12,0,0,0,0,0,0,0,4.9589e-08,0,ctrl
9,12,0,0,0,0,0,0,0,5.1246e-08,0,ctrl
10,12,0,0,0,0,0,0,0,8.5882e-09,0,ctrl
1,13,0,0,0,0,0,0,0,9.1022e-09,0,ctrl
2,13,0,0,0,0,0,0,0,2.07374e-08,0,ctrl
3,13,0,0,0,0,0,0,0,1.11184e-08,0,ctrl
4,13,0,0,0,0,0,0,0,1.55839e-08,0,ctrl
5,13,0,0,0,0,0,0,0,-4.1604e-08,0,ctrl
6,13,0,0,0,0,0,0,0,2.27339e-08,0,ctrl
7,13,0,0,0,0,0,0,0,1.92342e-08,0,ctrl
8,13,0,0,0,0,0,0,0,-5.78768e-08,0,ctrl
9,13,0,0,0,0,0,0,0,-1.49134e-08,0,ctrl
10,13,0,0,0,0,0,0,0,1.37503e-08,0,ctrl
1,14,0,0,0,0,0,0,0,4.15523e-09,0,ctrl
2,14,0,0,0,0,0,0,0,6.19353e-09,0,ctrl
3,14,0,0,0,0,0,0,0,6.03251e-08,0,ctrl
4,14,0,0,0,0,0,0,0,-1.92172e-08,0,ctrl
5,14,0,0,0,0,0,0,0,-2.36782e-10,0,ctrl
6,14,0,0,0,0,0,0,0,3.18288e-08,0,ctrl
7,14,0,0,0,0,0,0,0,2.31551e-08,0,ctrl
8,14,0,0,0,0,0,0,0,-1.36578e-09,0,ctrl
9,14,0,0,0,0,0,0,0,-2.01814e-08,0,ctrl
10,14,0,0,0,0,0,0,0,8.86418e-08,0,ctrl
1,15,0,0,0,0,0,0,0,1.19616e-09,0,ctrl
2,15,0,0,0,0,0,0,0,4.59209e-08,0,ctrl
3,15,0,0,0,0,0,0,0,6.27722e-08,0,ctrl
4,15,0,0,0,0,0,0,0,-3.72676e-08,0,ctrl
5,15,0,0,0,0,0,0,0,4.58522e-08,0,ctrl
6,15,0,0,0,0,0,0,0,3.02637e-09,0,ctrl
7,15,0,0,0,0,0,0,0,-8.00909e-09,0,ctrl
8,15,0,0,0,0,0,0,0,-3.2513e-08,0,ctrl
9,15,0,0,0,0,0,0,0,6.99307e-09,0,ctrl
10,15,0,0,0,0,0,0,0,-3.2443e-08,0,ctrl
1,16,0,0,0,0,0,0,0,-2.04953e-09,0,ctrl
2,16,0,0,0,0,0,0,0,-5.98917e-09,0,ctrl
3,16,0,0,0,0,0,0,0,3.85274e-08,0,ctrl
4,16,0,0,0,0,0,0,0,5.56207e-08,0,ctrl
5,16,0,0,0,0,0,0,0,5.51252e-08,0,ctrl
6,16,0,0,0,0,0,0,0,-1.58289e-08,0,ctrl
7,16,0,0,0,0,0,0,0,-4.16852e-08,0,ctrl
8,16,0,0,0,0,0,0,0,-1.31719e-08,0,ctrl
9,16,0,0,0,0,0,0,0,3.14576e-09,0,ctrl
10,16,0,0,0,0,0,0,0,1.39533e-08,0,ctrl
1,17,0,0,0,0,0,0,0,-4.66319e-08,0,ctrl
2,17,0,0,0,0,0,0,0,1.84732e-08,0,ctrl
3,17,0,0,0,0,0,0,0,-9.72358e-09,0,ctrl
4,17,0,0,0,0,0,0,0,1.86674e-08,0,ctrl
5,17,0,0,0,0,0,0,0,1.44971e-08,0,ctrl
6,17,0,0,0,0,0,0,0,5.36723e-08,0,ctrl
7,17,0,0,0,0,0,0,0,-5.25394e-08,0,ctrl
8,17,0,0,0,0,0,0,0,5.48734e-09,0,ctrl
9,17,0,0,0,0,0,0,0,3.14878e-09,0,ctrl
10,17,0,0,0,0,0,0,0,1.94108e-08,0,ctrl
1,18,0,0,0,0,0,0,0,-7.19601e-09,0,ctrl
2,18,0,0,0,0,0,0,0,1.23606e-09,0,ctrl
3,18,0,0,0,0,0,0,0,1.24501e-08,0,ctrl
4,18,0,0,0,0,0,0,0,4.052e-08,0,ctrl
5,18,0,0,0,0,0,0,0,6.27376e-08,0,ctrl
6,18,0,0,0,0,0,0,0,2.58975e-08,0,ctrl
7,18,0,0,0,0,0,0,0,-8.96538e-08,0,ctrl
8,18,0,0,0,0,0,0,0,-3.23493e-08,0,ctrl
9,18,0,0,0,0,0,0,0,1.02933e-08,0,ctrl
10,18,0,0,0,0,0,0,0,4.77424e-08,0,ctrl
1,19,0,0,0,0,0,0,0,-2.49285e-08,0,ctrl
2,19,0,0,0,0,0,0,0,-2.38421e-08,0,ctrl
3,19,0,0,0,0,0,0,0,1.51853e-09,0,ctrl
4,19,0,0,0,0,0,0,0,-5.07846e-08,0,ctrl
5,19,0,0,0,0,0,0,0,3.72474e-08,0,ctrl
6,19,0,0,0,0,0,0,0,-3.18272e-08,0,ctrl
7,19,0,0,0,0,0,0,0,-1.57576e-08,0,ctrl
8,19,0,0,0,0,0,0,0,5.80912e-08,0,ctrl
9,19,0,0,0,0,0,0,0,-1.10874e-08,0,ctrl
10,19,0,0,0,0,0,0,0,-3.44749e-08,0,ctrl
1,20,0,0,0,0,0,0,0,4.60586e-08,0,ctrl
2,20,0,0,0,0,0,0,0,-1.01229e-08,0,ctrl
3,20,0,0,0,0,0,0,0,-1.42297e-07,0,ctrl
4,20,0,0,0,0,0,0,0,-1.58468e-08,0,ctrl
5,20,0,0,0,0,0,0,0,-2.75792e-08,0,ctrl
6,20,0,0,0,0,0,0,0,-2.35981e-08,0,ctrl
7,20,0,0,0,0,0,0,0,3.18932e-08,0,ctrl
8,20,0,0,0,0,0,0,0,-7.56775e-09,0,ctrl
9,20,0,0,0,0,0,0,0,1.95806e-08,0,ctrl
10,20,0,0,0,0,0,0,0,-6.80593e-08,0,ctrl
