parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	parameterType
rho	rho	log10	0.42	1.66	1	1	
kappa	kappa	log10	100.0	100000.0	1	1	
psi	psi	log10	1e-10	0.01	1	1	
phi	phi	log10	1e-08	100000000.0	1	1	
beta	beta	log10	1.0	10000.0	1	1	
alpha	alpha	log10	0.0001	1000.0	1	1	
delta	delta	log10	0.01	100.0	1	1	
theta_c_1	theta_c_1	log10	1e-07	1.0	1	1	
theta_c_2	theta_c_2	log10	1e-07	1.0	1	1	
theta_c_3	theta_c_3	log10	1e-07	1.0	1	1	
theta_c_4	theta_c_4	log10	1e-07	1.0	1	1	
theta_c_5	theta_c_5	log10	1e-07	1.0	1	1	
theta_c_6	theta_c_6	log10	1e-07	1.0	1	1	
theta_c_7	theta_c_7	log10	1e-07	1.0	1	1	
theta_c_8	theta_c_8	log10	1e-07	1.0	1	1	
theta_c_9	theta_c_9	log10	1e-07	1.0	1	1	
theta_c_10	theta_c_10	log10	1e-07	1.0	1	1	
theta_v_1	theta_v_1	log10	1e-07	1.0	1	1	
theta_v_2	theta_v_2	log10	1e-07	1.0	1	1	
theta_v_3	theta_v_3	log10	1e-07	1.0	1	1	
theta_v_4	theta_v_4	log10	1e-07	1.0	1	1	
theta_v_5	theta_v_5	log10	1e-07	1.0	1	1	
theta_v_6	theta_v_6	log10	1e-07	1.0	1	1	
theta_v_7	theta_v_7	log10	1e-07	1.0	1	1	
theta_v_8	theta_v_8	log10	1e-07	1.0	1	1	
theta_v_9	theta_v_9	log10	1e-07	1.0	1	1	
theta_v_10	theta_v_10	log10	1e-07	1.0	1	1	
sigma_add	additive_noise	log10	10.0	100000.0	1	1	
sigma_mul	multiplicative_noise	log10	0.0001	100.0	1	1	
