parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	parameterType
rho	rho	log10	0.01	10.0	1	1	
kappa	kappa	log10	100.0	100000.0	1	1	
psi_1	psi_1	log10	1e-10	0.01	1	1	
psi_2	psi_2	log10	1e-10	0.01	1	1	
zeta	zeta	log10	1e-08	100000000.0	1	1	
alpha	alpha	log10	0.0001	1000.0	1	1	
delta	delta	log10	0.01	100.0	1	1	
theta_c_1	theta_c_1	lin	0.0	1.0	1	1	
theta_c_2	theta_c_2	lin	0.0	1.0	1	1	
theta_c_3	theta_c_3	lin	0.0	1.0	1	1	
theta_c_4	theta_c_4	lin	0.0	1.0	1	1	
theta_c_5	theta_c_5	lin	0.0	1.0	1	1	
theta_c_6	theta_c_6	lin	0.0	1.0	1	1	
theta_c_7	theta_c_7	lin	0.0	1.0	1	1	
theta_c_8	theta_c_8	lin	0.0	1.0	1	1	
theta_c_9	theta_c_9	lin	0.0	1.0	1	1	
theta_c_10	theta_c_10	lin	0.0	1.0	1	1	
theta_v_1	theta_v_1	lin	0.0	1.0	1	1	
theta_v_2	theta_v_2	lin	0.0	1.0	1	1	
theta_v_3	theta_v_3	lin	0.0	1.0	1	1	
theta_v_4	theta_v_4	lin	0.0	1.0	1	1	
theta_v_5	theta_v_5	lin	0.0	1.0	1	1	
theta_v_6	theta_v_6	lin	0.0	1.0	1	1	
theta_v_7	theta_v_7	lin	0.0	1.0	1	1	
theta_v_8	theta_v_8	lin	0.0	1.0	1	1	
theta_v_9	theta_v_9	lin	0.0	1.0	1	1	
theta_v_10	theta_v_10	lin	0.0	1.0	1	1	
sigma_add	additive_noise	log10	10.0	100000.0	1	1	
sigma_mul	multiplicative_noise	log10	0.0001	100.0	1	1	
