conditionId	conditionName	virus_injection	initial_vol
vvDD_1	vvDD_1	3000000000.0	nu_v_1
vvDD_2	vvDD_2	3000000000.0	nu_v_2
vvDD_3	vvDD_3	3000000000.0	nu_v_3
vvDD_4	vvDD_4	3000000000.0	nu_v_4
vvDD_5	vvDD_5	3000000000.0	nu_v_5
vvDD_6	vvDD_6	3000000000.0	nu_v_6
vvDD_7	vvDD_7	3000000000.0	nu_v_7
vvDD_8	vvDD_8	3000000000.0	nu_v_8
vvDD_9	vvDD_9	3000000000.0	nu_v_9
vvDD_10	vvDD_10	3000000000.0	nu_v_10
ctrl_1	ctrl_1	0.0	nu_c_1
ctrl_2	ctrl_2	0.0	nu_c_2
ctrl_3	ctrl_3	0.0	nu_c_3
ctrl_4	ctrl_4	0.0	nu_c_4
ctrl_5	ctrl_5	0.0	nu_c_5
ctrl_6	ctrl_6	0.0	nu_c_6
ctrl_7	ctrl_7	0.0	nu_c_7
ctrl_8	ctrl_8	0.0	nu_c_8
ctrl_9	ctrl_9	0.0	nu_c_9
ctrl_10	ctrl_10	0.0	nu_c_10
