theta_abscissa,theta_pdf,theta_cdf,split
-1.84298,0.0073108,0.00120052,All
-1.81167,0.00869036,0.00145043,All
-1.78037,0.0102962,0.001747,All
-1.74906,0.0121584,0.00209778,All
-1.71775,0.0143102,0.0025113,All
-1.68645,0.0167871,0.00299717,All
-1.65514,0.0196278,0.00356618,All
-1.62384,0.0228735,0.00423035,All
-1.59253,0.0265679,0.00500304,All
-1.56122,0.0307572,0.005899,All
-1.52992,0.0354896,0.0069345,All
-1.49861,0.0408151,0.0081273,All
-1.4673,0.0467847,0.00949677,All
-1.436,0.0534506,0.0110639,All
-1.40469,0.0608646,0.0128513,All
-1.37338,0.0690784,0.0148831,All
-1.34208,0.0781419,0.0171853,All
-1.31077,0.088103,0.0197852,All
-1.27947,0.0990061,0.0227115,All
-1.24816,0.110891,0.0259945,All
-1.21685,0.123793,0.0296654,All
-1.18555,0.137741,0.0337565,All
-1.15424,0.152754,0.0383008,All
-1.12293,0.168844,0.043332,All
-1.09163,0.186014,0.0488839,All
-1.06032,0.204253,0.05499,All
-1.02901,0.22354,0.0616837,All
-0.997708,0.243842,0.0689971,All
-0.966401,0.26511,0.0769614,All
-0.935095,0.287281,0.0856058,All
-0.903789,0.31028,0.0949575,All
-0.872482,0.334013,0.105041,All
-0.841176,0.358376,0.115878,All
-0.809869,0.383248,0.127485,All
-0.778563,0.408492,0.139878,All
-0.747257,0.433963,0.153064,All
-0.71595,0.459501,0.16705,All
-0.684644,0.484937,0.181834,All
-0.653337,0.510092,0.19741,All
-0.622031,0.534781,0.213767,All
-0.590725,0.558815,0.230888,All
-0.559418,0.582002,0.248748,All
-0.528112,0.604152,0.267318,All
-0.496805,0.625075,0.286562,All
-0.465499,0.644588,0.306441,All
-0.434193,0.662518,0.326905,All
-0.402886,0.678699,0.347904,All
-0.37158,0.692981,0.369381,All
-0.340273,0.705229,0.391273,All
-0.308967,0.715326,0.413515,All
-0.277661,0.723173,0.436038,All
-0.246354,0.728693,0.45877,All
-0.215048,0.731833,0.481638,All
-0.183741,0.732561,0.504567,All
-0.152435,0.73087,0.527481,All
-0.121129,0.726777,0.550304,All
-0.0898221,0.720322,0.572962,All
-0.0585157,0.711569,0.595381,All
-0.0272093,0.700603,0.617492,All
0.00409707,0.68753,0.639226,All
0.0354035,0.672474,0.660519,All
0.0667099,0.655577,0.681312,All
0.0980163,0.636997,0.701549,All
0.129323,0.6169,0.721181,All
0.160629,0.595467,0.740161,All
0.191935,0.572881,0.758452,All
0.223242,0.549333,0.776021,All
0.254548,0.525016,0.79284,All
0.285855,0.500118,0.808888,All
0.317161,0.47483,0.824149,All
0.348467,0.449333,0.838616,All
0.379774,0.423802,0.852283,All
0.41108,0.398402,0.865153,All
0.442387,0.373289,0.877231,All
0.473693,0.348605,0.88853,All
0.504999,0.324479,0.899064,All
0.536306,0.301026,0.908853,All
0.567612,0.278347,0.91792,All
0.598919,0.256527,0.92629,All
0.630225,0.235638,0.933992,All
0.661531,0.215735,0.941055,All
0.692838,0.196861,0.94751,All
0.724144,0.179047,0.953392,All
0.755451,0.162306,0.958732,All
0.786757,0.146646,0.963566,All
0.818063,0.132059,0.967925,All
0.84937,0.118531,0.971845,All
0.880676,0.106038,0.975358,All
0.911983,0.0945481,0.978495,All
0.943289,0.0840253,0.981288,All
0.974595,0.0744272,0.983766,All
1.0059,0.065708,0.985957,All
1.03721,0.0578188,0.987889,All
1.06851,0.050709,0.989585,All
1.09982,0.0443267,0.991071,All
1.13113,0.0386198,0.992368,All
1.16243,0.0335366,0.993496,All
1.19374,0.0290264,0.994474,All
1.22505,0.0250398,0.995319,All
1.25635,0.0215295,0.996046,All
