pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-1.9714,0.01,-2.0452,0.001,-2.06876,0.01,All
-1.91265,0.02,-2.01587,0.002,-2.0114,0.02,All
-1.60119,0.03,-2.01469,0.003,-1.64143,0.03,All
-1.51902,0.04,-2.01431,0.004,-1.56725,0.04,All
-1.44872,0.05,-2.00911,0.005,-1.54281,0.05,All
-1.37787,0.06,-1.99071,0.006,-1.50821,0.06,All
-1.35411,0.07,-1.98172,0.007,-1.43043,0.07,All
-1.3339,0.08,-1.98139,0.008,-1.35766,0.08,All
-1.31379,0.09,-1.96727,0.009,-1.31342,0.09,All
-1.31121,0.1,-1.95987,0.01,-1.31235,0.1,All
-1.30438,0.11,-1.95515,0.011,-1.31074,0.11,All
-1.30185,0.12,-1.95495,0.012,-1.2809,0.12,All
-1.21667,0.13,-1.94875,0.013,-1.27775,0.13,All
-1.08882,0.14,-1.94105,0.014,-1.0968,0.14,All
-1.0357,0.15,-1.9399,0.015,-1.06559,0.15,All
-1.03485,0.16,-1.9347,0.016,-1.04381,0.16,All
-1.00999,0.17,-1.92969,0.017,-1.03636,0.17,All
-0.949153,0.18,-1.91133,0.018,-1.03043,0.18,All
-0.865546,0.19,-1.90706,0.019,-0.939046,0.19,All
-0.856113,0.2,-1.89783,0.02,-0.902581,0.2,All
-0.848569,0.21,-1.86809,0.021,-0.851056,0.21,All
-0.831472,0.22,-1.85864,0.022,-0.839533,0.22,All
-0.825502,0.23,-1.79464,0.023,-0.776452,0.23,All
-0.776435,0.24,-1.75213,0.024,-0.758149,0.24,All
-0.772395,0.25,-1.75013,0.025,-0.721309,0.25,All
-0.733908,0.26,-1.74406,0.026,-0.712823,0.26,All
-0.70714,0.27,-1.73716,0.027,-0.689036,0.27,All
-0.696793,0.28,-1.71813,0.028,-0.6843,0.28,All
-0.688159,0.29,-1.70998,0.029,-0.672089,0.29,All
-0.539477,0.3,-1.6912,0.03,-0.522384,0.3,All
-0.511019,0.31,-1.61553,0.031,-0.486377,0.31,All
-0.503692,0.32,-1.59472,0.032,-0.438428,0.32,All
-0.48514,0.33,-1.58769,0.033,-0.422042,0.33,All
-0.471366,0.34,-1.55664,0.034,-0.417778,0.34,All
-0.415292,0.35,-1.55121,0.035,-0.352579,0.35,All
-0.413831,0.36,-1.53898,0.036,-0.34756,0.36,All
-0.389428,0.37,-1.52017,0.037,-0.297735,0.37,All
-0.383594,0.38,-1.51825,0.038,-0.276702,0.38,All
-0.236646,0.39,-1.50741,0.039,-0.193348,0.39,All
-0.213648,0.4,-1.49759,0.04,-0.175728,0.4,All
-0.203761,0.41,-1.46728,0.041,-0.103032,0.41,All
-0.192811,0.42,-1.46546,0.042,-0.0912712,0.42,All
-0.168282,0.43,-1.46449,0.043,-0.0627794,0.43,All
