standEta_theta_abscissa,standEta_theta_cdf,split
-4,0,All
-3.03554,0.005,All
-2.66915,0.01,All
-2.5346,0.015,All
-2.41671,0.02,All
-2.39798,0.025,All
-2.37995,0.03,All
-2.19457,0.035,All
-2.18186,0.04,All
-2.11441,0.045,All
-2.09205,0.05,All
-2.07467,0.055,All
-2.05601,0.06,All
-2.0522,0.065,All
-2.01695,0.07,All
-1.96938,0.075,All
-1.80899,0.08,All
-1.71928,0.085,All
-1.60172,0.09,All
-1.552,0.095,All
-1.48886,0.1,All
-1.47984,0.105,All
-1.43529,0.11,All
-1.4253,0.115,All
-1.40023,0.12,All
-1.3481,0.125,All
-1.34003,0.13,All
-1.23895,0.135,All
-1.20054,0.14,All
-1.19716,0.145,All
-1.04339,0.15,All
-1.02127,0.155,All
-1.01574,0.16,All
-0.991865,0.165,All
-0.977983,0.17,All
-0.933027,0.175,All
-0.873299,0.18,All
-0.82487,0.185,All
-0.822617,0.19,All
-0.780147,0.195,All
-0.708955,0.2,All
-0.658588,0.205,All
-0.656511,0.21,All
-0.648606,0.215,All
-0.62504,0.22,All
-0.586925,0.225,All
-0.584457,0.23,All
-0.566848,0.235,All
-0.546815,0.24,All
-0.535643,0.245,All
-0.521349,0.25,All
-0.472289,0.255,All
-0.466973,0.26,All
-0.459859,0.265,All
-0.442645,0.27,All
-0.430691,0.275,All
-0.398481,0.28,All
-0.385755,0.285,All
-0.36138,0.29,All
-0.359162,0.295,All
-0.306775,0.3,All
-0.303112,0.305,All
-0.284396,0.31,All
-0.273877,0.315,All
-0.270087,0.32,All
-0.262155,0.325,All
-0.250101,0.33,All
-0.249277,0.335,All
-0.225558,0.34,All
-0.201978,0.345,All
-0.189495,0.35,All
-0.165418,0.355,All
-0.137774,0.36,All
-0.136747,0.365,All
-0.128432,0.37,All
-0.119579,0.375,All
-0.116237,0.38,All
-0.110055,0.385,All
-0.105521,0.39,All
-0.102688,0.395,All
-0.0730514,0.4,All
-0.0725572,0.405,All
-0.0661935,0.41,All
-0.0562023,0.415,All
-0.038052,0.42,All
-0.0243114,0.425,All
-0.00531821,0.43,All
2.46804e-05,0.435,All
0.0219024,0.44,All
0.0501412,0.445,All
0.0644137,0.45,All
0.0669053,0.455,All
0.0671901,0.46,All
0.0751281,0.465,All
0.0869596,0.47,All
0.091374,0.475,All
0.11317,0.48,All
0.117415,0.485,All
0.122419,0.49,All
0.13381,0.495,All
0.133952,0.5,All
0.135834,0.505,All
0.152631,0.51,All
0.153765,0.515,All
0.156453,0.52,All
0.159551,0.525,All
0.189146,0.53,All
0.18936,0.535,All
0.20294,0.54,All
0.205109,0.545,All
0.212618,0.55,All
0.218797,0.555,All
0.220611,0.56,All
0.250551,0.565,All
0.263678,0.57,All
0.266088,0.575,All
0.271842,0.58,All
0.311219,0.585,All
0.312111,0.59,All
0.318293,0.595,All
0.320916,0.6,All
0.32279,0.605,All
0.329796,0.61,All
0.332038,0.615,All
0.335846,0.62,All
0.336603,0.625,All
0.343671,0.63,All
0.356887,0.635,All
0.368075,0.64,All
0.373086,0.645,All
0.384119,0.65,All
0.393114,0.655,All
0.43176,0.66,All
0.43735,0.665,All
0.483352,0.67,All
0.495832,0.675,All
0.496641,0.68,All
0.514394,0.685,All
0.525702,0.69,All
0.531765,0.695,All
0.540533,0.7,All
0.543406,0.705,All
0.544621,0.71,All
0.545146,0.715,All
0.549084,0.72,All
0.552013,0.725,All
0.560353,0.73,All
0.602609,0.735,All
0.616783,0.74,All
0.624815,0.745,All
0.637584,0.75,All
0.637613,0.755,All
0.639053,0.76,All
0.651048,0.765,All
0.679077,0.77,All
0.702397,0.775,All
0.706631,0.78,All
0.717879,0.785,All
0.735672,0.79,All
0.740944,0.795,All
0.754754,0.8,All
0.782964,0.805,All
0.825162,0.81,All
0.839255,0.815,All
0.846819,0.82,All
0.851422,0.825,All
0.852973,0.83,All
0.862686,0.835,All
0.863532,0.84,All
0.880272,0.845,All
0.924296,0.85,All
0.932729,0.855,All
0.958637,0.86,All
0.970255,0.865,All
0.998885,0.87,All
1.12064,0.875,All
1.14631,0.88,All
1.15277,0.885,All
1.17097,0.89,All
1.21046,0.895,All
1.21555,0.9,All
1.23214,0.905,All
1.23557,0.91,All
1.24521,0.915,All
1.26253,0.92,All
1.2709,0.925,All
1.3012,0.93,All
1.33703,0.935,All
1.36479,0.94,All
1.36787,0.945,All
1.37042,0.95,All
1.37528,0.955,All
1.44776,0.96,All
1.58677,0.965,All
1.61205,0.97,All
1.72212,0.975,All
1.72814,0.98,All
1.7777,0.985,All
1.81859,0.99,All
1.99253,0.995,All
2.03262,1,All
4,1,All
