ID,standEta_theta_mean,standEta_theta_mode,filter
1,-0.412114,-0.626735,0
2,-0.163471,-0.394025,0
3,-0.379249,-0.642907,0
4,-0.12913,-0.281481,0
5,0.544901,0.368461,0
6,0.408153,0.410238,0
7,0.306636,0.304525,0
8,0.535955,0.470475,0
9,0.293588,0.295405,0
10,0.733153,0.531403,0
11,-1.48601,-1.64945,0
12,-1.8044,-2.0153,0
13,-1.46542,-1.64945,0
14,-0.115579,-0.259906,0
15,-0.0214525,-0.190474,0
16,-0.385935,-0.547312,0
17,0.706963,0.586335,0
18,0.712446,0.655386,0
19,0.741969,0.654801,0
20,1.13433,1.05784,0
