time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
2.22045e-16,0.189168,2.22045e-16,0.352278,2.22045e-16,0.264198,994527,-0.151153,944677,-0.112606,994527,-0.185074,All
4.6941e-16,0.189168,4.6941e-16,0.352278,4.6941e-16,0.264198,1.02278e+06,-0.148036,973913,-0.108085,1.02278e+06,-0.181003,All
9.9235e-16,0.189168,9.9235e-16,0.352278,9.9235e-16,0.264198,1.05184e+06,-0.14483,1.00405e+06,-0.103606,1.05184e+06,-0.176816,All
2.09786e-15,0.189168,2.09786e-15,0.352278,2.09786e-15,0.264198,1.05536e+06,-0.144442,1.01251e+06,-0.102349,1.05536e+06,-0.176309,All
4.43496e-15,0.189168,4.43496e-15,0.352278,4.43496e-15,0.264198,1.08173e+06,-0.141533,1.03513e+06,-0.0990316,1.08173e+06,-0.172511,All
9.37567e-15,0.189168,9.37567e-15,0.352278,9.37567e-15,0.264198,1.11246e+06,-0.138142,1.06716e+06,-0.0946277,1.11246e+06,-0.168083,All
1.98205e-14,0.189168,1.98205e-14,0.352278,1.98205e-14,0.264198,1.1162e+06,-0.13773,1.08034e+06,-0.0928393,1.1162e+06,-0.167545,All
4.19013e-14,0.189168,4.19013e-14,0.352278,4.19013e-14,0.264198,1.14407e+06,-0.134655,1.10019e+06,-0.0903863,1.14407e+06,-0.163529,All
8.85808e-14,0.189168,8.85808e-14,0.352278,8.85808e-14,0.264198,1.17658e+06,-0.131069,1.13423e+06,-0.0861945,1.17658e+06,-0.158846,All
1.87263e-13,0.189168,1.87263e-13,0.352278,1.87263e-13,0.264198,1.17703e+06,-0.131019,1.14817e+06,-0.0844789,1.17703e+06,-0.158781,All
3.95881e-13,0.189168,3.95881e-13,0.352278,3.95881e-13,0.264198,1.21e+06,-0.127381,1.16934e+06,-0.0823501,1.21e+06,-0.15403,All
8.36906e-13,0.189168,8.36906e-13,0.352278,8.36906e-13,0.264198,1.23786e+06,-0.124308,1.20552e+06,-0.0794549,1.23786e+06,-0.150017,All
1.76925e-12,0.189168,1.76925e-12,0.352278,1.76925e-12,0.264198,1.24438e+06,-0.123589,1.216e+06,-0.0786168,1.24438e+06,-0.149077,All
3.74026e-12,0.189168,3.74026e-12,0.352278,3.74026e-12,0.264198,1.27974e+06,-0.119688,1.24283e+06,-0.0764701,1.27974e+06,-0.143984,All
7.90704e-12,0.189168,7.90704e-12,0.352278,7.90704e-12,0.264198,1.2987e+06,-0.117597,1.28129e+06,-0.073393,1.2987e+06,-0.141252,All
1.67158e-11,0.189168,1.67158e-11,0.352278,1.67158e-11,0.264198,1.3161e+06,-0.115677,1.28383e+06,-0.0731901,1.3161e+06,-0.138745,All
3.53377e-11,0.189168,3.53377e-11,0.352278,3.53377e-11,0.264198,1.35349e+06,-0.111552,1.32095e+06,-0.0702206,1.35349e+06,-0.133358,All
7.47052e-11,0.189168,7.47052e-11,0.352278,7.47052e-11,0.264198,1.35953e+06,-0.110886,1.35166e+06,-0.0677633,1.35953e+06,-0.132488,All
1.5793e-10,0.189168,1.5793e-10,0.352278,1.5793e-10,0.264198,1.39195e+06,-0.107309,1.36183e+06,-0.06695,1.39195e+06,-0.127818,All
3.33869e-10,0.189168,3.33869e-10,0.352278,3.33869e-10,0.264198,1.42036e+06,-0.104174,1.40397e+06,-0.0635782,1.42036e+06,-0.123724,All
7.05811e-10,0.189168,7.05811e-10,0.352278,7.05811e-10,0.264198,1.4315e+06,-0.102946,1.41949e+06,-0.0628763,1.4315e+06,-0.12212,All
1.49211e-09,0.189168,1.49211e-09,0.352278,1.49211e-09,0.264198,1.47217e+06,-0.0984595,1.44742e+06,-0.0619504,1.47217e+06,-0.116261,All
3.15437e-09,0.189168,3.15437e-09,0.352278,3.15437e-09,0.264198,1.4812e+06,-0.0974631,1.48732e+06,-0.0614216,1.4812e+06,-0.11496,All
6.66846e-09,0.189168,6.66846e-09,0.352278,6.66846e-09,0.264198,1.51399e+06,-0.0937959,1.49221e+06,-0.0613623,1.51399e+06,-0.110176,All
1.40974e-08,0.189168,1.40974e-08,0.352278,1.40974e-08,0.264198,1.54203e+06,-0.088812,1.53839e+06,-0.0608024,1.54203e+06,-0.103862,All
2.98023e-08,0.189168,2.98023e-08,0.352278,2.98023e-08,0.264198,1.55701e+06,-0.0861497,1.55515e+06,-0.0605993,1.55701e+06,-0.100489,All
6.30032e-08,0.189168,6.30032e-08,0.352278,6.30032e-08,0.264198,1.60125e+06,-0.0782862,1.586e+06,-0.0602802,1.60125e+06,-0.0905268,All
1.33191e-07,0.189168,1.33191e-07,0.352278,1.33191e-07,0.264198,1.60287e+06,-0.0779986,1.62298e+06,-0.0603125,1.60287e+06,-0.0901624,All
2.81571e-07,0.189168,2.81571e-07,0.352278,2.81571e-07,0.264198,1.64674e+06,-0.0701994,1.63509e+06,-0.0603383,1.64674e+06,-0.0802817,All
5.9525e-07,0.189168,5.9525e-07,0.352278,5.9525e-07,0.264198,1.6637e+06,-0.0671851,1.68569e+06,-0.0604082,1.6637e+06,-0.076463,All
