rep,id,eta_rho,eta_kappa,eta_psi,eta_phi,eta_beta,eta_alpha,eta_delta,eta_theta,eta_scaling,GROUP
1,1,0,0,0,0,0,0,0,0.110511,0,vvDD
2,1,0,0,0,0,0,0,0,0.0350765,0,vvDD
3,1,0,0,0,0,0,0,0,-0.556131,0,vvDD
4,1,0,0,0,0,0,0,0,-0.553123,0,vvDD
5,1,0,0,0,0,0,0,0,-0.340366,0,vvDD
6,1,0,0,0,0,0,0,0,0.659154,0,vvDD
7,1,0,0,0,0,0,0,0,-0.250416,0,vvDD
8,1,0,0,0,0,0,0,0,-0.568179,0,vvDD
9,1,0,0,0,0,0,0,0,-0.50808,0,vvDD
10,1,0,0,0,0,0,0,0,-0.810758,0,vvDD
1,2,0,0,0,0,0,0,0,-0.449183,0,vvDD
2,2,0,0,0,0,0,0,0,0.111692,0,vvDD
3,2,0,0,0,0,0,0,0,-0.167055,0,vvDD
4,2,0,0,0,0,0,0,0,0.174755,0,vvDD
5,2,0,0,0,0,0,0,0,0.528353,0,vvDD
6,2,0,0,0,0,0,0,0,0.0365884,0,vvDD
7,2,0,0,0,0,0,0,0,-0.31961,0,vvDD
8,2,0,0,0,0,0,0,0,0.479352,0,vvDD
9,2,0,0,0,0,0,0,0,0.746264,0,vvDD
10,2,0,0,0,0,0,0,0,0.0473538,0,vvDD
1,3,0,0,0,0,0,0,0,-0.0574612,0,vvDD
2,3,0,0,0,0,0,0,0,0.040911,0,vvDD
3,3,0,0,0,0,0,0,0,0.449342,0,vvDD
4,3,0,0,0,0,0,0,0,-0.0132388,0,vvDD
5,3,0,0,0,0,0,0,0,-0.729713,0,vvDD
6,3,0,0,0,0,0,0,0,-0.0699374,0,vvDD
7,3,0,0,0,0,0,0,0,-0.781587,0,vvDD
8,3,0,0,0,0,0,0,0,-0.357503,0,vvDD
9,3,0,0,0,0,0,0,0,0.270005,0,vvDD
10,3,0,0,0,0,0,0,0,0.194343,0,vvDD
1,4,0,0,0,0,0,0,0,-0.103189,0,vvDD
2,4,0,0,0,0,0,0,0,0.403481,0,vvDD
3,4,0,0,0,0,0,0,0,-0.039511,0,vvDD
4,4,0,0,0,0,0,0,0,0.011927,0,vvDD
5,4,0,0,0,0,0,0,0,-0.2839,0,vvDD
6,4,0,0,0,0,0,0,0,-0.241042,0,vvDD
7,4,0,0,0,0,0,0,0,-0.353198,0,vvDD
8,4,0,0,0,0,0,0,0,0.280114,0,vvDD
9,4,0,0,0,0,0,0,0,-0.0900786,0,vvDD
10,4,0,0,0,0,0,0,0,-0.475555,0,vvDD
1,5,0,0,0,0,0,0,0,0.457016,0,vvDD
2,5,0,0,0,0,0,0,0,0.503325,0,vvDD
3,5,0,0,0,0,0,0,0,0.369791,0,vvDD
4,5,0,0,0,0,0,0,0,0.173327,0,vvDD
5,5,0,0,0,0,0,0,0,0.30514,0,vvDD
6,5,0,0,0,0,0,0,0,0.347212,0,vvDD
7,5,0,0,0,0,0,0,0,0.354528,0,vvDD
8,5,0,0,0,0,0,0,0,0.788377,0,vvDD
9,5,0,0,0,0,0,0,0,0.347996,0,vvDD
10,5,0,0,0,0,0,0,0,0.744874,0,vvDD
1,6,0,0,0,0,0,0,0,0.627743,0,vvDD
2,6,0,0,0,0,0,0,0,0.295912,0,vvDD
3,6,0,0,0,0,0,0,0,0.0728661,0,vvDD
4,6,0,0,0,0,0,0,0,0.661928,0,vvDD
5,6,0,0,0,0,0,0,0,1.34397e-05,0,vvDD
6,6,0,0,0,0,0,0,0,0.120134,0,vvDD
7,6,0,0,0,0,0,0,0,-0.142756,0,vvDD
8,6,0,0,0,0,0,0,0,0.296859,0,vvDD
9,6,0,0,0,0,0,0,0,0.461136,0,vvDD
10,6,0,0,0,0,0,0,0,0.119146,0,vvDD
1,7,0,0,0,0,0,0,0,0.175775,0,vvDD
2,7,0,0,0,0,0,0,0,0.300599,0,vvDD
3,7,0,0,0,0,0,0,0,-0.25429,0,vvDD
4,7,0,0,0,0,0,0,0,0.103116,0,vvDD
5,7,0,0,0,0,0,0,0,-0.109987,0,vvDD
6,7,0,0,0,0,0,0,0,0.102999,0,vvDD
7,7,0,0,0,0,0,0,0,0.347197,0,vvDD
8,7,0,0,0,0,0,0,0,0.263209,0,vvDD
9,7,0,0,0,0,0,0,0,0.200435,0,vvDD
10,7,0,0,0,0,0,0,0,-0.00289603,0,vvDD
1,8,0,0,0,0,0,0,0,0.0851965,0,vvDD
2,8,0,0,0,0,0,0,0,0.0273044,0,vvDD
3,8,0,0,0,0,0,0,0,0.0666633,0,vvDD
4,8,0,0,0,0,0,0,0,0.469776,0,vvDD
5,8,0,0,0,0,0,0,0,0.0616269,0,vvDD
6,8,0,0,0,0,0,0,0,0.335869,0,vvDD
7,8,0,0,0,0,0,0,0,0.507918,0,vvDD
8,8,0,0,0,0,0,0,0,0.183297,0,vvDD
9,8,0,0,0,0,0,0,0,0.40061,0,vvDD
10,8,0,0,0,0,0,0,0,0.187146,0,vvDD
1,9,0,0,0,0,0,0,0,0.169474,0,vvDD
2,9,0,0,0,0,0,0,0,0.182885,0,vvDD
3,9,0,0,0,0,0,0,0,-0.0397802,0,vvDD
4,9,0,0,0,0,0,0,0,0.270446,0,vvDD
