id,eta_rho_SAEM,eta_kappa_SAEM,eta_psi_SAEM,eta_phi_SAEM,eta_beta_SAEM,eta_alpha_SAEM,eta_delta_SAEM,eta_theta_SAEM,eta_scaling_SAEM,eta_rho_mean,eta_kappa_mean,eta_psi_mean,eta_phi_mean,eta_beta_mean,eta_alpha_mean,eta_delta_mean,eta_theta_mean,eta_scaling_mean,eta_rho_mode,eta_kappa_mode,eta_psi_mode,eta_phi_mode,eta_beta_mode,eta_alpha_mode,eta_delta_mode,eta_theta_mode,eta_scaling_mode,eta_rho_sd,eta_kappa_sd,eta_psi_sd,eta_phi_sd,eta_beta_sd,eta_alpha_sd,eta_delta_sd,eta_theta_sd,eta_scaling_sd,GROUP
1,0,0,0,0,0,0,0,-1.49956e-09,0,0,0,0,0,0,0,0,-6.67491e-10,0,0,0,0,0,0,0,0,-2.32903e-11,0,0,0,0,0,0,0,0,3.65968e-08,0,vvDD
2,0,0,0,0,0,0,0,-1.98377e-09,0,0,0,0,0,0,0,0,-7.90868e-10,0,0,0,0,0,0,0,0,-1.60476e-11,0,0,0,0,0,0,0,0,3.96653e-08,0,vvDD
3,0,0,0,0,0,0,0,-6.82449e-10,0,0,0,0,0,0,0,0,-5.7096e-11,0,0,0,0,0,0,0,0,-6.62128e-11,0,0,0,0,0,0,0,0,4.00015e-08,0,vvDD
4,0,0,0,0,0,0,0,1.08024e-09,0,0,0,0,0,0,0,0,1.08572e-09,0,0,0,0,0,0,0,0,-2.3586e-11,0,0,0,0,0,0,0,0,3.76885e-08,0,vvDD
5,0,0,0,0,0,0,0,8.94348e-10,0,0,0,0,0,0,0,0,-1.67724e-09,0,0,0,0,0,0,0,0,5.52447e-12,0,0,0,0,0,0,0,0,3.4494e-08,0,vvDD
6,0,0,0,0,0,0,0,2.09186e-09,0,0,0,0,0,0,0,0,-7.07634e-09,0,0,0,0,0,0,0,0,5.12923e-12,0,0,0,0,0,0,0,0,3.67343e-08,0,vvDD
7,0,0,0,0,0,0,0,-1.21691e-09,0,0,0,0,0,0,0,0,-7.05e-09,0,0,0,0,0,0,0,0,1.36327e-11,0,0,0,0,0,0,0,0,3.93929e-08,0,vvDD
8,0,0,0,0,0,0,0,-1.91338e-09,0,0,0,0,0,0,0,0,-2.21939e-09,0,0,0,0,0,0,0,0,5.43361e-11,0,0,0,0,0,0,0,0,3.91241e-08,0,vvDD
9,0,0,0,0,0,0,0,-1.99043e-09,0,0,0,0,0,0,0,0,3.61462e-10,0,0,0,0,0,0,0,0,-2.27143e-11,0,0,0,0,0,0,0,0,3.8476e-08,0,vvDD
10,0,0,0,0,0,0,0,-5.51702e-10,0,0,0,0,0,0,0,0,-2.18673e-09,0,0,0,0,0,0,0,0,-5.83285e-11,0,0,0,0,0,0,0,0,4.0011e-08,0,vvDD
11,0,0,0,0,0,0,0,4.80215e-09,0,0,0,0,0,0,0,0,1.67655e-09,0,0,0,0,0,0,0,0,1.24585e-11,0,0,0,0,0,0,0,0,4.14648e-08,0,ctrl
12,0,0,0,0,0,0,0,-2.25822e-09,0,0,0,0,0,0,0,0,1.159e-09,0,0,0,0,0,0,0,0,1.66578e-11,0,0,0,0,0,0,0,0,3.72238e-08,0,ctrl
13,0,0,0,0,0,0,0,-2.20811e-10,0,0,0,0,0,0,0,0,-2.73501e-09,0,0,0,0,0,0,0,0,2.68421e-11,0,0,0,0,0,0,0,0,3.84425e-08,0,ctrl
14,0,0,0,0,0,0,0,-2.3251e-09,0,0,0,0,0,0,0,0,6.88958e-09,0,0,0,0,0,0,0,0,1.12079e-11,0,0,0,0,0,0,0,0,3.8091e-08,0,ctrl
15,0,0,0,0,0,0,0,1.22113e-09,0,0,0,0,0,0,0,0,2.5954e-09,0,0,0,0,0,0,0,0,1.17304e-10,0,0,0,0,0,0,0,0,3.49868e-08,0,ctrl
16,0,0,0,0,0,0,0,3.00557e-09,0,0,0,0,0,0,0,0,2.25414e-09,0,0,0,0,0,0,0,0,5.88072e-11,0,0,0,0,0,0,0,0,3.58285e-08,0,ctrl
17,0,0,0,0,0,0,0,-2.1395e-09,0,0,0,0,0,0,0,0,-8.30835e-10,0,0,0,0,0,0,0,0,1.25135e-11,0,0,0,0,0,0,0,0,3.89392e-08,0,ctrl
18,0,0,0,0,0,0,0,-1.10053e-09,0,0,0,0,0,0,0,0,-1.04507e-09,0,0,0,0,0,0,0,0,7.15961e-12,0,0,0,0,0,0,0,0,3.58349e-08,0,ctrl
19,0,0,0,0,0,0,0,1.87132e-09,0,0,0,0,0,0,0,0,1.09382e-09,0,0,0,0,0,0,0,0,3.03149e-11,0,0,0,0,0,0,0,0,3.62502e-08,0,ctrl
20,0,0,0,0,0,0,0,2.72794e-09,0,0,0,0,0,0,0,0,-8.48446e-10,0,0,0,0,0,0,0,0,2.6906e-11,0,0,0,0,0,0,0,0,3.86187e-08,0,ctrl
